# Base attributes derived from data provider resources (BAFU, Swisstopo, etc.).
gauge_id;country;gauging_st;water_body;type;id6;id12;shape_leng;shape_area;super_catc;sub_catchm;h1;h2;ext_ch;ext_de;ext_at;ext_li;ext_it;ext_fr;ext_r1981;ext_tabs;ext_srel;ext_sim;ext_r1992
2004;CH;Murten;Murtensee;lake;MuSMur;575500197790;218617.225557;7.12651458851e8;1;1;218;223;100.0;0.0;0.0;0.0;0.0;0.0;99.77;99.77;99.77;99.77;99.77
2007;CH;Le Pont;Lac de Joux;lake;LdeLe ;514700168840;90418.6520342;2.09252531913e8;1;1;529;532;79.48;0.0;0.0;0.0;0.0;20.52;100.0;100.0;100.0;100.0;100.0
2009;CH;Porte du Scex;Rhône;stream;RhoPor;557660133280;581812.19419;5.23940209565e9;1;1;559;614;99.12;0.0;0.0;0.0;0.01;0.87;99.78;99.78;99.78;100.0;100.0
2011;CH;Sion;Rhône;stream;RhoSio;593770118630;373714.667313;3.37241704021e9;1;1;576;597;99.99;0.0;0.0;0.0;0.01;0.0;100.0;100.0;100.0;100.0;100.0
2014;CH;Schmerikon;Zürichsee (Obersee);lake;ZuSSch;713710231515;244190.991589;1.58345279034e9;1;1;389;390;100.0;0.0;0.0;0.0;0.0;0.0;99.4;99.4;99.4;99.4;99.4
2016;CH;Brugg;Aare;stream;AarBru;657000259360;827842.590414;1.16812828821e10;1;1;199;322;99.02;0.0;0.0;0.0;0.0;0.98;99.89;99.89;99.89;99.83;99.89
2017;CH;Zug;Zugersee;lake;ZuSZug;681555224660;99557.4506021;2.49997782527e8;1;1;325;326;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2018;CH;Mellingen;Reuss;stream;ReuMel;662830252580;423447.043212;3.38575294559e9;1;1;323;366;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2019;CH;Brienzwiler;Aare;stream;AarBri;649930177380;135675.028325;5.55157142585e8;0;1;246;247;100.0;0.0;0.0;0.0;0.0;0.0;99.25;99.25;99.25;99.25;99.25
2020;CH;Bellinzona;Ticino;stream;TicBel;721245117025;272141.98227;1.51752533526e9;1;1;502;515;99.83;0.0;0.0;0.0;0.17;0.0;100.0;100.0;100.0;100.0;100.0
2021;CH;Ponte Tresa;Lago di Lugano;lake;LdLPon;710200091800;151546.798892;6.08823076977e8;1;1;478;489;59.65;0.0;0.0;0.0;40.35;0.0;82.95;80.65;78.18;84.42;84.42
2022;CH;Locarno;Lago Maggiore;lake;LaMLoc;705480113380;545621.619097;6.59007387961e9;1;1;151;154;50.87;0.0;0.0;0.0;49.13;0.0;62.41;62.2;61.17;98.56;98.54
2023;CH;Ringgenberg;Brienzersee;lake;BrSRin;635150172340;181928.428084;1.13738723669e9;1;1;245;248;100.0;0.0;0.0;0.0;0.0;0.0;99.35;99.35;99.35;99.35;99.35
2024;CH;Branson;Rhône;stream;RhoBra;573150108300;430741.227883;3.72787505767e9;1;1;575;598;99.99;0.0;0.0;0.0;0.01;0.0;99.98;99.98;99.98;99.98;99.98
