catchment;mod_type;rmse;nrmse;mae;nmae;nse;kge;mod_mean;measured_mean;mod_top1;measured_top1;mod_low5;measured_low5;cor
Thur_HLPF;lstm;37.72;0.434;0.514;50.41;48.39;126.47;133.17;12.25;10.32;0.673
Thur_01;lstm;37.73;0.432;0.448;53.38;48.45;125.58;133.01;11.72;10.32;0.67
Emme;xgb;5.83;0.484;3.25;0.27;0.807;0.781;11.87;12.06;61.83;64.36;2.08;1.91;0.899
Emme;lgbm;5.86;0.486;3.27;0.272;0.806;0.845;12.01;12.06;62.68;64.36;2.21;1.91;0.898
Emme;mlp;7.01;0.581;3.67;0.304;0.722;0.855;12.58;12.06;69.06;64.36;2.72;1.91;0.862
Emme;lstm;10.1;0.837;5.68;0.47;0.422;0.564;13.41;12.06;57.48;64.39;2.37;1.91;0.68
Emme;gru;9.78;0.811;5.55;0.46;0.458;0.459;12.98;12.06;50.71;64.39;2.98;1.91;0.684
Emme;svr;6.17;0.512;3.34;0.277;0.784;0.702;11.64;12.06;59.09;64.36;2.2;1.91;0.887
Plessur;xgb;2.79;0.474;1.76;0.299;0.794;0.797;5.8;5.88;24.42;26.3;0.72;0.46;0.891
Plessur;lgbm;2.81;0.479;1.76;0.3;0.79;0.767;5.77;5.88;23.34;26.3;0.75;0.46;0.889
Plessur;lstm;2.96;0.503;1.87;0.318;0.768;0.798;5.92;5.88;23.82;26.3;0.89;0.46;0.877
Plessur;gru;3.01;0.513;1.99;0.338;0.759;0.65;5.99;5.88;21.36;26.3;1.72;0.46;0.873
Plessur;mlp;3.05;0.519;1.98;0.338;0.753;0.68;5.66;5.88;18.58;26.3;1.23;0.46;0.869
Plessur;svr;2.75;0.468;1.78;0.303;0.799;0.734;5.54;5.88;22.35;26.3;0.55;0.46;0.896
Rosegbach;xgb;1.15;0.399;0.62;0.214;0.909;0.822;2.79;2.88;12.91;14.52;0.13;0.1;0.955
Rosegbach;lgbm;1.18;0.408;0.64;0.22;0.905;0.819;2.79;2.88;13.02;14.52;0.12;0.1;0.952
Rosegbach;mlp;1.44;0.5;0.77;0.266;0.857;0.654;2.54;2.88;10.48;14.52;0.26;0.1;0.937
Rosegbach;lstm;1.6;0.553;0.83;0.289;0.825;0.627;2.59;2.89;11.29;14.52;0.18;0.1;0.919
Rosegbach;gru;1.66;0.575;0.9;0.311;0.811;0.62;2.64;2.89;10.58;14.52;0.33;0.1;0.909
Rosegbach;svr;1.31;0.453;0.74;0.256;0.883;0.822;2.79;2.88;13.09;14.52;0.14;0.1;0.94
Venoge;xgb;1.99;0.469;1.05;0.247;0.86;0.88;4.32;4.24;26.1;26.65;0.55;0.52;0.928
Venoge;lgbm;1.94;0.457;1.05;0.248;0.867;0.856;4.34;4.24;25.79;26.65;0.51;0.52;0.931
Venoge;mlp;2.18;0.515;1.13;0.267;0.831;0.852;4.12;4.24;29.76;26.65;0.45;0.52;0.922
Venoge;lstm;3.08;0.727;1.53;0.362;0.664;0.771;4.19;4.24;26.27;26.66;0.23;0.52;0.821
Venoge;gru;3.13;0.737;1.5;0.354;0.654;0.742;4.23;4.24;27.21;26.66;0.66;0.52;0.814
Venoge;svr;1.93;0.456;1.04;0.246;0.868;0.923;4.27;4.24;27.01;26.65;0.57;0.52;0.933
Kander;xgb;5.72;0.274;3.63;0.174;0.862;0.801;20.14;20.9;61.64;68.04;5.75;5.48;0.93
Kander;lgbm;5.46;0.261;3.46;0.165;0.874;0.808;20.16;20.9;61.35;68.04;5.8;5.48;0.937
Kander;mlp;6.62;0.317;4.15;0.199;0.815;0.856;19.32;20.9;74.03;68.04;5.53;5.48;0.91
Kander;lstm;7.77;0.371;4.66;0.223;0.746;0.815;19.54;20.91;62.78;68.05;4.99;5.48;0.871
Kander;gru;8.3;0.397;4.94;0.236;0.71;0.545;18.64;20.91;53.59;68.05;6.58;5.48;0.861
Kander;svr;5.54;0.265;3.55;0.17;0.871;0.815;20.03;20.9;62.29;68.04;5.58;5.48;0.935
Verzasca;xgb;5.89;0.554;2.61;0.245;0.874;0.798;10.28;10.63;84.8;88.19;1.6;1.53;0.936
Verzasca;lgbm;6.39;0.601;2.82;0.265;0.851;0.795;10.36;10.63;84.49;88.19;1.37;1.53;0.923
Verzasca;mlp;7.09;0.666;3.8;0.358;0.817;0.765;12.17;10.63;82.8;88.19;3.62;1.53;0.909
Verzasca;lstm;11.71;1.101;5.04;0.474;0.501;0.433;10.82;10.64;59.63;88.22;1.73;1.53;0.708
Verzasca;gru;11.98;1.125;5.68;0.534;0.478;0.436;11.82;10.64;58.15;88.22;2.86;1.53;0.696
Verzasca;svr;6.65;0.625;3.32;0.312;0.839;0.765;10.52;10.63;79.84;88.19;1.51;1.53;0.917
Ticino;xgb;25.18;0.387;15.65;0.241;0.798;0.688;60.33;65.02;261.03;276.51;25.99;18.71;0.899
Ticino;lgbm;23.88;0.367;14.93;0.23;0.819;0.729;61.42;65.02;260.08;276.51;25.91;18.71;0.908
Ticino;mlp;21.74;0.334;14.56;0.224;0.85;0.867;63.58;65.02;285.98;276.51;29.19;18.71;0.922
Ticino;lstm;33.84;0.52;17.93;0.276;0.636;0.504;64.2;65.05;227.64;276.52;30.46;18.7;0.8
Ticino;gru;33.37;0.513;17.54;0.27;0.646;0.584;61.08;65.05;232.5;276.52;23.66;18.7;0.807
Ticino;svr;23.14;0.356;14.35;0.221;0.83;0.684;61.04;65.02;253.47;276.51;27.23;18.71;0.917
Broye;xgb;4.44;0.546;2.03;0.25;0.826;0.832;8.31;8.13;50.37;54.3;1.34;1.34;0.909
Broye;lgbm;4.24;0.522;1.98;0.243;0.841;0.829;8.31;8.13;49.49;54.3;1.34;1.34;0.917
Broye;mlp;4.63;0.57;2.03;0.249;0.81;0.756;7.88;8.13;53.36;54.3;1.4;1.34;0.901
Broye;lstm;7.26;0.893;3.37;0.415;0.534;0.545;8.22;8.13;43;54.3;1.14;1.34;0.733
Broye;gru;7.4;0.91;3.29;0.404;0.516;0.469;7.9;8.13;39.33;54.3;1.64;1.34;0.719
Broye;svr;4.09;0.503;2;0.246;0.852;0.808;8.06;8.13;49.08;54.3;1.6;1.34;0.923
Thur;xgb;16.48;0.34;9.18;0.19;0.892;0.912;47.86;48.44;238.77;249.75;10.2;10.33;0.945
Thur;lgbm;17.68;0.365;9.9;0.204;0.875;0.937;48.01;48.44;243.12;249.75;10.5;10.33;0.938
Thur;mlp;18.08;0.373;9.52;0.197;0.87;0.921;48.78;48.44;262.32;249.75;11.24;10.33;0.934
Thur;lstm;36.12;0.746;19.19;0.396;0.48;0.56;49.54;48.45;216.91;249.77;11.99;10.32;0.703
Thur;gru;36.84;0.76;19.56;0.404;0.459;0.45;48.93;48.45;180.46;249.77;12.46;10.32;0.68
Thur;svr;17.02;0.351;9.69;0.2;0.884;0.919;47.92;48.44;233.98;249.75;10.98;10.33;0.941
Thur;mlp;17.2;0.355;9.37;0.194;0.882;0.941;48.35;48.44;252.37;249.75;10.68;10.33;0.941
Broye_2;lstm;7.83;0.963;4.04;0.497;0.459;0.294;7.83;8.13;32.99;54.3;1.81;1.34;0.682
Emme Short Calibration;xgb;7.06;0.6;3.54;0.301;0.774;0.641;11.35;11.77;62.15;70.17;1.37;1.78;0.883
Emme Short Calibration;lgbm;6.51;0.553;3.3;0.281;0.807;0.695;11.48;11.77;61.69;70.17;1.81;1.78;0.9
Emme Short Calibration;mlp;7.91;0.672;3.95;0.336;0.715;0.742;12.19;11.77;72.37;70.17;2.85;1.78;0.847
Emme Short Calibration;lstm;10.96;0.931;5.58;0.474;0.454;0.427;11.72;11.77;53.58;70.19;1.65;1.78;0.676
