"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;4.719;4.45;3.6;3.46;NA;NA;4.24
"2";1985-01-02;4.872;4.54;3.08;3.26;NA;NA;3.63
"3";1985-01-03;4.428;4.7;2.95;3.38;NA;NA;4.44
"4";1985-01-04;3.807;3.86;2.63;3.33;NA;NA;3.28
"5";1985-01-05;3.078;4.31;3.62;3.66;1.81;4.07;3.93
"6";1985-01-06;2.864;3.77;2.81;3.68;1.4;3.99;5.96
"7";1985-01-07;2.864;3.41;3.04;3.7;1.07;3.86;6.56
"8";1985-01-08;2.864;3.13;2.93;3.69;0.65;3.74;7.29
"9";1985-01-09;2.864;3.04;2.92;3.6;0.34;3.7;8.16
"10";1985-01-10;2.864;3.05;2.85;3.54;0.1;3.81;6.98
"11";1985-01-11;2.83;3.06;3.12;3.54;0.01;3.76;6.27
"12";1985-01-12;2.852;3.36;3.19;3.56;-0.09;3.78;5.73
"13";1985-01-13;2.876;3.33;3.2;3.59;-0.64;3.63;2.68
"14";1985-01-14;2.859;3.3;2.9;3.61;-1.03;3.59;3.81
"15";1985-01-15;2.846;3.09;3.09;3.57;-1.46;3.53;3.23
"16";1985-01-16;2.846;3.08;2.69;3.54;-1.73;3.53;1.94
"17";1985-01-17;2.846;2.81;3.01;3.42;-1.49;3.51;1.74
"18";1985-01-18;2.854;3;2.93;3.22;-1.14;3.52;4.16
"19";1985-01-19;2.9;3.48;3.99;3.53;-0.38;3.62;4.3
"20";1985-01-20;2.9;3.12;2.3;3.68;0.67;3.83;3.07
"21";1985-01-21;3.017;2.28;0.91;3.15;2.57;4.48;-0.91
"22";1985-01-22;29.831;49.52;37.59;47.24;18.73;12.46;36.73
"23";1985-01-23;124.166;106.66;109.57;92.57;46.18;44.65;77.11
"24";1985-01-24;39.825;43.99;51.4;39.42;54.37;49.31;28.55
"25";1985-01-25;18.862;20.32;19.05;20;54.32;50.5;12.71
"26";1985-01-26;22.263;21.2;18.09;47.29;61.62;51.8;24.21
"27";1985-01-27;19.65;29.8;26.36;32.32;59.13;51.65;29.53
"28";1985-01-28;13.703;16.9;18.57;23.17;38.32;43.63;12.28
"29";1985-01-29;10.576;12.8;12.08;17.03;30.04;36.49;10.66
"30";1985-01-30;9.43;10.72;10.67;10.79;28.66;31.87;11.22
"31";1985-01-31;9.903;11.31;12.48;12.47;25.02;27.22;13.51
"32";1985-02-01;22.954;12.74;16.22;12.9;19.15;19.63;14.01
"33";1985-02-02;25.703;15.88;19.49;13.18;17.72;15.83;16.38
"34";1985-02-03;28.278;14.12;17.85;15.65;18.05;14.66;16.39
"35";1985-02-04;20.342;13.4;15.12;12.35;17.13;13.83;15.29
"36";1985-02-05;14.249;12.04;11.98;10.79;15.81;13.06;12.71
"37";1985-02-06;12.939;12.75;14.84;12.56;14.69;12.4;14.95
"38";1985-02-07;13.336;13.86;15.08;12.38;13.8;11.85;15.29
"39";1985-02-08;13.096;12.62;14.18;10.74;13.23;11.43;10.1
"40";1985-02-09;26.225;19.25;21;15.01;14.24;12.73;21.15
"41";1985-02-10;20.898;19.03;19.93;18.01;15.92;14.55;21.63
"42";1985-02-11;13.54;11.14;10.83;12.05;16.72;16.53;13.69
"43";1985-02-12;10.376;10.72;10.18;11.05;16.64;17.22;8.93
"44";1985-02-13;8.719;9.97;5.61;8.61;15.86;17.62;3.68
"45";1985-02-14;8.649;10.12;19.82;9.63;15.83;17.58;14.66
"46";1985-02-15;15.129;25.85;33.98;43.1;19.42;18.9;33.57
"47";1985-02-16;13.169;27.79;26.97;26.49;24.72;21.89;5.53
"48";1985-02-17;10.736;26.41;34.92;23.06;30.06;26.78;11.34
"49";1985-02-18;9.603;24.61;29.19;21.12;30.89;28.89;-0.14
