"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;7.667;6.83;7.1;6.29;NA;NA;7.64
"2";1983-01-02;7.338;7.01;7.4;6.17;NA;NA;7.93
"3";1983-01-03;7.335;6.69;7.45;6.92;NA;NA;7.34
"4";1983-01-04;7.332;6.88;8.33;6.53;NA;NA;8.13
"5";1983-01-05;11.938;10.54;10.11;12.09;8.61;7.53;11.74
"6";1983-01-06;12.213;9.52;10.9;11.32;9.77;8.79;10.61
"7";1983-01-07;9.589;9.54;10.04;8.98;10.81;9.41;8.85
"8";1983-01-08;8.799;8.82;10.3;8;11.23;9.59;8.77
"9";1983-01-09;7.826;7.12;7.93;6.53;10.82;9.17;7.59
"10";1983-01-10;7.21;6.6;7.04;5.67;9.53;8.13;6.94
"11";1983-01-11;6.707;6.47;6.52;5.13;8.3;6.86;6.07
"12";1983-01-12;6.408;6.25;6.86;4.67;7.3;5.74;5.41
"13";1983-01-13;6.228;6.09;6.08;4.13;6.84;4.93;5.73
"14";1983-01-14;8.224;8.03;7.09;6.41;7.16;4.79;8.05
"15";1983-01-15;7.691;9.97;11.6;7.17;8.33;5.9;8.45
"16";1983-01-16;21.222;21.96;14.46;16.38;10.21;7.93;19.16
"17";1983-01-17;18.497;15.78;15.49;11.54;12.12;9.14;14.04
"18";1983-01-18;13.66;12.15;12.84;9.86;13.65;10.11;10.49
"19";1983-01-19;11.021;9.51;9.49;7.38;13.18;9.19;7.82
"20";1983-01-20;9.411;6.13;5.67;6.31;11.41;8.11;5.88
"21";1983-01-21;8.193;5.81;4.94;4.69;8.86;6.94;5.82
"22";1983-01-22;7.491;5.25;4.11;4.24;7.37;6.05;4.55
"23";1983-01-23;6.885;4.95;3.92;4.17;6.34;4.84;4.26
"24";1983-01-24;6.546;4.23;3.58;4.16;5.64;4.27;3.96
"25";1983-01-25;6.076;4.16;3.59;3.82;5.15;3.73;3.82
"26";1983-01-26;6.018;5.06;3.71;4.15;4.88;3.61;4.17
"27";1983-01-27;6.757;6.49;6.05;5.58;4.86;3.71;5.43
"28";1983-01-28;7.108;5.54;5.65;6.77;5.18;3.95;5.26
"29";1983-01-29;7.374;6.54;6.61;7.33;6.18;4.61;5.72
"30";1983-01-30;13.197;10.21;11.29;11.68;8.63;6.61;10.38
"31";1983-01-31;15.846;17.89;17.11;15.69;11.77;9.42;14.01
"32";1983-02-01;13.635;11.07;11.56;13.45;14.01;12.31;13.4
"33";1983-02-02;23.856;15.43;17.58;15.91;15.41;13.54;16.07
"34";1983-02-03;13.584;12.95;11.53;9.42;15.67;12.55;8.43
"35";1983-02-04;10.67;8.21;7.92;7.81;14.42;11.04;8.07
"36";1983-02-05;9.776;9.52;11.63;6.62;13.13;10.49;6.34
"37";1983-02-06;15.909;7.16;17.17;13.47;13.02;11.05;10.71
"38";1983-02-07;12.45;9.19;8.86;10.31;13.22;12.21;11.39
"39";1983-02-08;10.102;9.72;11.28;8.89;13.37;12.21;9.35
"40";1983-02-09;9.195;9.87;9.19;7.88;12.89;10.7;9.54
"41";1983-02-10;8.232;8.87;8.44;7.2;11.88;9.53;8.44
"42";1983-02-11;7.487;6.99;7.05;6.38;9.9;8.27;7.33
"43";1983-02-12;6.866;6.72;6.71;6.02;8.4;7.06;6.29
"44";1983-02-13;6.17;5.78;6.18;4.79;7.29;6.06;5.62
"45";1983-02-14;6.231;5.53;4.59;4.19;6.39;5.46;4.66
"46";1983-02-15;6.106;4.4;4.21;3.8;5.39;4.71;4.28
"47";1983-02-16;5.806;4.15;3.94;3.8;4.55;4.07;4.18
"48";1983-02-17;5.407;3.63;3.5;3.79;3.93;3.51;3.85
"49";1983-02-18;5.14;3.34;3.47;3.6;3.5;3.33;3.81
"50";1983-02-19;4.792;3.42;3.58;3.5;3.27;3.25;3.88
"51";1983-02-20;4.935;3.15;3.54;3.44;3.07;3.17;3.71
"52";1983-02-21;5.005;3.22;3.52;3.43;2.91;3.11;3.31
"53";1983-02-22;4.854;3.27;3.52;3.37;2.79;3.07;2.92
"54";1983-02-23;4.379;3.3;3.51;3.36;2.71;3.07;3.03
"55";1983-02-24;4.681;3.08;3.18;3.27;2.67;3.09;3.27
"56";1983-02-25;5.096;3.8;3.41;3.21;2.84;3.29;3.8
"57";1983-02-26;9.22;7.75;7.45;7.62;3.76;4.03;9.42
"58";1983-02-27;29.317;17.41;17.46;18.19;5.99;5.42;19.29
"59";1983-02-28;23.394;12.3;14.22;12.93;9.46;7.31;16.27
