"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;2.371;4.82;5.1;5.23;NA;NA;5.41
"2";1985-01-02;2.257;5.11;7.1;5.79;NA;NA;4.3
"3";1985-01-03;2.212;6.47;4.83;6.56;NA;NA;4.95
"4";1985-01-04;2.198;5.8;5.71;5.85;NA;NA;5.66
"5";1985-01-05;2.184;5.5;5.69;5.51;2.75;2.73;9.52
"6";1985-01-06;2.172;5.71;5.44;5.86;2.54;2.79;6.28
"7";1985-01-07;2.163;5.85;5.51;6.11;2.79;2.83;6.66
"8";1985-01-08;2.156;6.42;4.64;6.22;2.9;2.78;4.61
"9";1985-01-09;2.147;4.64;4.01;6.37;3.25;2.93;4.4
"10";1985-01-10;2.134;3.81;3.43;6.08;3.39;2.89;5.75
"11";1985-01-11;2.119;3.42;3.25;5.81;2.95;2.57;3.7
"12";1985-01-12;2.105;2.61;3.4;5.76;2.36;2.08;3.05
"13";1985-01-13;2.09;2.63;3.59;5.55;1.47;1.51;3.86
"14";1985-01-14;2.073;2.66;3.44;5.51;0.14;1;2.72
"15";1985-01-15;2.055;2.81;3.16;5.47;-0.73;0.76;4.62
"16";1985-01-16;2.045;1.58;2.39;5.3;-1.45;0.66;5.68
"17";1985-01-17;2.036;1.74;2.84;4.9;-1.94;0.7;4.71
"18";1985-01-18;2.055;1.51;2.48;5.12;-1.75;1.01;3.22
"19";1985-01-19;2.115;4.27;4.24;5.74;-1.68;1.26;3.11
"20";1985-01-20;2.138;2.13;2.97;4.34;-1.51;1.47;4.7
"21";1985-01-21;2.132;1.77;2.05;4.29;-0.92;1.71;4.73
"22";1985-01-22;4.313;11.51;7.01;9.07;3.03;3.66;20.22
"23";1985-01-23;34.022;47.23;40.31;61.26;13.56;9.72;44.48
"24";1985-01-24;18.533;17.21;21.41;20.06;15.03;12.96;20.28
"25";1985-01-25;10.041;5.59;7.05;14.89;13.26;14.32;14.05
"26";1985-01-26;9.145;6.96;8.3;12.65;14.81;17.51;19.59
"27";1985-01-27;9.383;5.8;12.33;21.56;17.44;19.22;30.56
"28";1985-01-28;7.494;8.35;6.38;12.83;13.21;14.82;9.84
"29";1985-01-29;6.533;7.61;6.99;13.15;11.81;12.59;4.5
"30";1985-01-30;6.066;4.21;6.77;11.78;12;14;5.19
"31";1985-01-31;10.292;9;10.84;13.57;11.53;14.51;9.29
"32";1985-02-01;36.113;21.82;22.57;23;11.72;13.53;14.46
"33";1985-02-02;38.489;20.74;18.45;18.47;14.18;15.61;12.43
"34";1985-02-03;49.558;18.56;17.35;21.49;17.27;19.51;12.58
"35";1985-02-04;25.615;12.55;18.36;13.77;19.49;21.79;9.69
"36";1985-02-05;17.966;12.13;17.58;14.34;20.75;20.91;10.59
"37";1985-02-06;22.892;18.69;18.16;20.5;21.54;19.62;15.58
"38";1985-02-07;22.389;19.07;16.59;24.01;21.42;19.67;19.56
"39";1985-02-08;24.706;19.85;18.42;19.04;22.1;20.97;21.7
"40";1985-02-09;39.976;37.47;36.26;52.03;26.59;26.2;37.82
"41";1985-02-10;27.534;25.18;23.62;25.24;29.12;29.01;25.98
"42";1985-02-11;18.159;14.9;11.57;12.33;26.92;26.71;16.57
"43";1985-02-12;13.519;13.79;12.15;7.77;23.58;22.64;8.02
"44";1985-02-13;11.527;19.34;15.46;7.97;20.86;18.03;9
"45";1985-02-14;10.999;27.41;23.82;20.51;17.89;13.22;23.84
"46";1985-02-15;10.311;17.73;22.8;11.75;15.28;12.65;11.73
"47";1985-02-16;8.349;17.64;14.56;17.1;13.62;12.35;15.32
"48";1985-02-17;8.014;11.13;14.79;17.46;14.27;12.46;14.87
"49";1985-02-18;7.217;13.17;12.78;12.78;14.58;12.4;15.69
"50";1985-02-19;5.85;14.11;12.26;8.11;12.11;10.23;12.15
"51";1985-02-20;5.517;14.64;11.79;7.25;8.24;6.87;10.05
"52";1985-02-21;5.374;12.56;9.96;6.57;5.37;5.55;8.26
"53";1985-02-22;5.251;7.87;7.63;6.36;3.94;5.37;7.45
"54";1985-02-23;4.868;7.91;7.33;6.53;3.35;4.84;7.43
"55";1985-02-24;5.198;6.49;8.37;8.42;3.27;4.83;9.97
"56";1985-02-25;6.35;9.24;10.05;18.36;4.21;5.66;13.5
