"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;5.592;6.42;5.79;6.08;NA;NA;6.55
"2";1985-01-02;5.733;6.64;6.05;5.95;NA;NA;6.65
"3";1985-01-03;5.591;6.14;6.21;6.26;NA;NA;8.33
"4";1985-01-04;5.386;6.19;6.06;6.01;NA;NA;8.47
"5";1985-01-05;5.052;6.5;6.75;6.28;4.66;5.62;8.69
"6";1985-01-06;4.52;6.32;6.61;6.28;4.59;5.55;9.11
"7";1985-01-07;4.938;6.37;6.19;6.25;4.58;5.57;8.22
"8";1985-01-08;5.4;5.84;5.58;6.19;4.49;5.45;8.63
"9";1985-01-09;6.128;5.44;5.11;6.17;4.31;5.42;10.29
"10";1985-01-10;6.099;4.99;4.77;6.16;4.22;5.36;9.62
"11";1985-01-11;5.594;5.12;4.78;6.11;4.02;5.25;10.5
"12";1985-01-12;6.651;4.81;4.81;6.15;3.82;5.17;9.33
"13";1985-01-13;6.247;4.43;4.71;6.03;3.66;5.15;7.67
"14";1985-01-14;4.803;4.41;4.37;5.94;3.51;5.12;7.84
"15";1985-01-15;4.828;4.02;4.37;5.75;3.43;5.1;7.67
"16";1985-01-16;4.697;4.16;4.49;5.59;3.41;5.1;6.77
"17";1985-01-17;4.637;4.2;4.46;5.53;3.33;5.1;6.57
"18";1985-01-18;4.669;3.9;4.35;5.33;3.28;5.15;6.94
"19";1985-01-19;4.787;4.07;4.19;5.35;3.23;5.19;6.62
"20";1985-01-20;4.647;4.15;4.02;5.27;3.21;5.25;6.56
"21";1985-01-21;4.612;4.08;3.9;4.99;3.22;5.36;7.2
"22";1985-01-22;4.741;4.7;5.16;4.29;3.64;5.98;8.77
"23";1985-01-23;8.939;10.31;9.58;5.61;4.57;7.05;15.94
"24";1985-01-24;7.812;6.36;6.55;5.59;4.84;7.4;9.15
"25";1985-01-25;6.111;4.74;5.2;4.62;4.95;8.09;6.26
"26";1985-01-26;6.08;5.34;5.29;4.79;5.52;8.59;4.93
"27";1985-01-27;5.888;5.39;5.04;5.85;5.58;8.8;3.86
"28";1985-01-28;5.572;5.94;6.15;5.99;5.3;7.86;5.33
"29";1985-01-29;5.482;6.05;5.42;5.53;4.8;7.4;5
"30";1985-01-30;5.558;5.4;5.53;5.57;4.75;7.24;5.48
"31";1985-01-31;5.721;7.05;6.51;5.68;4.95;7.09;5.17
"32";1985-02-01;8.362;11.47;9.38;7.58;5.62;7.19;8.82
"33";1985-02-02;11.338;11.95;10.1;7.71;6.56;7.83;7.96
"34";1985-02-03;16.872;10.77;10.95;8.65;7.34;8.24;9.66
"35";1985-02-04;12.083;9.54;10.84;8;8.58;8.72;9
"36";1985-02-05;10.034;13.4;13.35;9.98;9.81;9.82;10.88
"37";1985-02-06;10.939;15.46;15.74;11.63;11.04;10.84;13.98
"38";1985-02-07;9.85;14.22;14.2;11.67;11.72;11.19;12.79
"39";1985-02-08;9.817;15.18;14.6;12.97;12.29;12.21;13.16
"40";1985-02-09;13.449;15.88;16.77;14.93;13.23;12.89;15.46
"41";1985-02-10;11.541;14.27;14.39;12.7;12.96;12.95;14.85
"42";1985-02-11;9.426;12.31;11.48;9.78;12.21;12.1;13.99
"43";1985-02-12;8.217;11.18;10.38;8.43;10.86;10.83;11.56
"44";1985-02-13;7.805;11.5;9.37;8.05;9.78;9.92;12.76
"45";1985-02-14;7.387;11.2;10.79;12.37;9.23;9.59;13.64
"46";1985-02-15;7.183;13.43;11.51;16.44;8.89;11.07;15.67
"47";1985-02-16;6.551;16.47;14.12;18.33;8.8;13.41;13.22
"48";1985-02-17;6.39;16.09;13.45;20.25;9.2;15.86;8.75
"49";1985-02-18;6.243;10.58;10.79;14.66;9.97;15.94;12.89
"50";1985-02-19;5.894;8.73;9.15;9.89;10.17;15.46;13.65
"51";1985-02-20;5.763;8.24;8.61;9.64;10.1;13.84;13.38
"52";1985-02-21;5.861;8.27;9.17;9.2;8.62;11.38;14.52
"53";1985-02-22;5.915;8.22;8.36;7.94;6.72;8.71;13.53
"54";1985-02-23;5.816;7.92;8;7.41;5.52;7.42;11.92
"55";1985-02-24;6.033;7.67;7.91;8.74;5.17;7.11;12.9
"56";1985-02-25;6.492;8.89;9.08;12.76;5.41;7.26;13.13
"57";1985-02-26;6.729;11.64;11.47;15.23;5.87;7.64;14.64
"58";1985-02-27;6.61;11.54;11.14;14.6;6.46;8;14.66
"59";1985-02-28;6.509;10.82;11.53;12.89;6.97;8.31;13.74
"60";1985-03-01;6.369;9.61;11.86;12.02;7.28;9.09;15.68
"61";1985-03-02;6.874;10.21;11.14;12.74;7.63;10.12;15.19
"62";1985-03-03;6.502;10.46;9.88;11.12;8.06;10.07;12.64
"63";1985-03-04;6.537;10.13;10;9.86;8.43;10.13;10.48
"64";1985-03-05;6.368;10.13;10.12;8.8;8.53;9.68;9.77
"65";1985-03-06;6.036;9.36;9.59;8.1;8.42;9.57;8.49
"66";1985-03-07;5.989;9.39;8.93;8.16;8.07;9.01;8.16
"67";1985-03-08;5.924;7.9;8.03;7.93;7.51;8.24;8
"68";1985-03-09;5.81;7.55;7.76;7.66;6.65;7.79;7.16
"69";1985-03-10;5.905;7.84;7.73;7.17;6.15;7.42;6.51
"70";1985-03-11;6.148;7.75;7.2;7.04;5.85;7.09;5.88
"71";1985-03-12;5.953;6.41;6.52;7.02;5.69;6.86;5.48
"72";1985-03-13;5.991;6.26;6.24;7.11;5.64;6.72;5.88
"73";1985-03-14;6.285;6.52;6.27;6.97;5.55;6.63;5.71
"74";1985-03-15;6.177;6.15;6.15;7.02;5.45;6.45;5.36
"75";1985-03-16;5.81;6.29;5.99;6.81;5.35;6.3;5.07
"76";1985-03-17;5.713;5.75;5.4;6.71;5.28;6.13;4.64
"77";1985-03-18;5.582;5.47;5.24;6.64;5.2;5.96;4.56
"78";1985-03-19;5.488;5.02;5.18;6.56;5.04;5.87;4.38
"79";1985-03-20;5.433;5.13;5.3;6.47;4.99;5.82;4.38
"80";1985-03-21;5.437;5.75;5.44;6.58;4.94;5.75;4.55
"81";1985-03-22;5.416;5.67;5.58;6.68;4.92;5.78;4.72
"82";1985-03-23;5.556;5.72;5.72;6.59;4.94;5.83;4.66
"83";1985-03-24;5.595;5.39;5.75;6.5;5.03;5.9;4.54
"84";1985-03-25;6.151;5.88;6.22;6.84;5.21;6.03;4.73
"85";1985-03-26;7.078;5.95;6.18;6.78;5.43;6.23;5.52
"86";1985-03-27;7.99;6.27;5.98;6.22;5.48;6.6;6.39
"87";1985-03-28;7.432;6.12;6.48;6.56;5.39;6.69;5.74
"88";1985-03-29;6.909;5.36;6.04;6.21;5.43;6.8;5.38
"89";1985-03-30;7.175;6.53;6.61;6.61;5.82;7.1;5.74
"90";1985-03-31;8.287;8.48;8.28;6.88;6.02;7.1;6.04
