"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;8.02;7.46;8.2;8.05;NA;NA;6.3
"2";1983-01-02;7.77;7.22;7.76;7.62;NA;NA;6.25
"3";1983-01-03;7.887;6.83;7.64;7.64;NA;NA;6.15
"4";1983-01-04;8.355;9.25;8.74;9.18;NA;NA;6.92
"5";1983-01-05;12.934;11.64;11.54;11.29;6.75;7.92;10.43
"6";1983-01-06;12.232;12.36;13.42;12.24;7.68;8.55;12.65
"7";1983-01-07;10.123;9.66;11.82;8.46;8.31;9.12;7.71
"8";1983-01-08;9.266;8.84;9.26;5.85;8.28;9.44;8.01
"9";1983-01-09;8.544;8.34;9;5.62;7.85;9.46;6.12
"10";1983-01-10;8.073;8.16;8.23;5.75;7.41;9.1;6.12
"11";1983-01-11;7.85;7.57;8.35;7.18;7.33;8.76;7.06
"12";1983-01-12;7.782;7.81;8.8;8.34;7.43;8.58;8.3
"13";1983-01-13;7.689;8.84;9.35;8.83;7.58;8.82;8.46
"14";1983-01-14;7.532;9.64;9.14;7.77;7.2;8.75;9.46
"15";1983-01-15;7.511;7.27;9.54;9.77;7.2;8.99;9.05
"16";1983-01-16;8.597;14.55;10.69;12.33;7.71;9.41;7.77
"17";1983-01-17;8.163;10.67;11.98;12.25;8.85;9.88;11.1
"18";1983-01-18;7.941;12.61;11.49;11.31;10.32;10.68;8.86
"19";1983-01-19;7.691;11.41;10.59;9.32;10.74;11.26;12.91
"20";1983-01-20;7.128;8.08;8.19;9.45;9.71;10.79;8.41
"21";1983-01-21;6.857;6.78;7.39;6.69;8.08;9.94;8.26
"22";1983-01-22;6.822;6.91;7.53;6.67;7.37;8.87;7.58
"23";1983-01-23;6.953;7.72;7.69;8.57;7.13;8.04;8.62
"24";1983-01-24;6.975;8.42;8.46;8.72;7.14;8.01;7.89
"25";1983-01-25;6.998;9.55;8.93;9.47;7.49;8.52;10.38
"26";1983-01-26;8.284;9.64;10.94;12.56;8.25;8.98;13.45
"27";1983-01-27;10.352;15.47;14.53;18.86;9.11;9.53;14.61
"28";1983-01-28;11.137;11.77;12.65;14.79;9.83;10.36;10.95
"29";1983-01-29;9.972;11.86;13.17;9.91;10.54;11.24;12.15
"30";1983-01-30;11.165;11.76;12.54;10.48;10.92;11.63;13.46
"31";1983-01-31;10.412;9.56;12.51;12.57;10.56;11.38;12.91
"32";1983-02-01;12.094;14.92;15.78;12.4;10.97;11.57;12.72
"33";1983-02-02;11.003;12.82;13.65;11.09;10.8;11.48;12.02
"34";1983-02-03;9.378;8.84;8.97;10.08;10.44;11.47;9.5
"35";1983-02-04;8.628;8.14;8.85;9.29;9.71;10.83;6.3
"36";1983-02-05;8.33;10.2;9.63;10.4;9.51;10.65;7.43
"37";1983-02-06;9.412;11.44;10.14;11.54;9.28;10.14;4.49
"38";1983-02-07;8.586;8.32;9.51;10.94;8.85;9.9;6.79
