"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;0.78;0.45;0.72;1.33;NA;NA;0.48
"2";1985-01-02;0.73;0.82;0.84;1.41;NA;NA;0.26
"3";1985-01-03;0.606;1.03;0.88;1.4;NA;NA;0.41
"4";1985-01-04;0.599;1.04;0.86;1.42;NA;NA;0.98
"5";1985-01-05;0.46;1.02;1;1.44;0.29;0.61;2.44
"6";1985-01-06;0.519;0.94;1;1.41;0.28;0.62;3.06
"7";1985-01-07;0.484;0.86;0.78;1.38;0.33;0.58;2.63
"8";1985-01-08;0.471;0.91;0.79;1.38;0.41;0.6;1.59
"9";1985-01-09;0.468;0.9;0.57;1.32;0.44;0.56;1.71
"10";1985-01-10;0.479;0.82;0.49;1.34;0.46;0.57;1.43
"11";1985-01-11;0.513;0.78;0.54;1.37;0.42;0.62;0.23
"12";1985-01-12;0.493;0.83;0.57;1.33;0.34;0.55;-0.6
"13";1985-01-13;0.496;0.85;0.61;1.29;0.26;0.49;-1.03
"14";1985-01-14;0.498;1;0.59;1.34;0.18;0.5;-1.09
"15";1985-01-15;0.5;0.92;0.65;1.44;0.04;0.43;-0.04
"16";1985-01-16;0.502;0.93;0.79;1.5;-0.04;0.35;-0.35
"17";1985-01-17;0.504;0.36;0.96;1.45;-0.11;0.41;-0.12
"18";1985-01-18;0.505;0.37;0.91;1.31;-0.14;0.39;0.73
"19";1985-01-19;0.508;0.35;0.98;1.26;-0.19;0.39;1.31
"20";1985-01-20;0.51;0.46;0.89;1.26;-0.24;0.34;1.33
"21";1985-01-21;0.494;0.45;1.11;1.28;-0.23;0.35;1.72
"22";1985-01-22;0.409;0.33;0.95;1.3;-0.21;0.37;2.02
"23";1985-01-23;0.323;0.55;1.28;1.45;-0.25;0.4;2.35
"24";1985-01-24;0.333;0.6;0.97;1.49;-0.24;0.42;1.79
"25";1985-01-25;0.324;0.58;0.74;1.43;-0.24;0.53;1.22
"26";1985-01-26;0.361;0.58;1.26;1.36;-0.18;0.66;1.31
"27";1985-01-27;0.338;0.76;1.08;1.32;-0.08;0.65;1.33
"28";1985-01-28;0.329;0.98;1.09;1.3;-0.01;0.58;1.12
"29";1985-01-29;0.323;0.82;0.97;1.3;0.16;0.65;1.26
"30";1985-01-30;0.322;0.81;1.19;1.34;0.27;0.74;1.4
"31";1985-01-31;0.347;0.7;0.98;1.51;0.1;0.68;1.41
"32";1985-02-01;0.488;0.97;1.38;1.58;0.17;0.72;1.43
"33";1985-02-02;0.652;1.18;1.29;2.15;0.24;0.9;0.59
"34";1985-02-03;1.564;1.47;1.63;2.67;0.47;1.01;1.09
"35";1985-02-04;0.524;1.28;1.47;2.58;0.68;1.14;0.97
"36";1985-02-05;0.486;1.49;1.92;2.79;0.93;1.25;0.31
"37";1985-02-06;0.515;1.73;1.94;1.84;1.2;1.44;1.12
"38";1985-02-07;0.472;1.45;1.68;1.76;1.48;1.49;1.68
"39";1985-02-08;0.425;1.34;1.53;1.7;1.52;1.57;1.92
"40";1985-02-09;0.485;1.54;1.68;2.2;1.71;1.75;2.52
"41";1985-02-10;0.48;1.53;2.2;1.69;1.57;1.8;2.67
"42";1985-02-11;0.431;0.94;1.33;1.51;1.39;1.9;2.01
"43";1985-02-12;0.391;1.23;1.4;1.54;1.27;1.52;1.8
"44";1985-02-13;0.51;1.08;1.33;1.51;1.15;1.58;1.7
"45";1985-02-14;0.419;0.84;0.9;1.95;1.05;1.25;1.8
"46";1985-02-15;0.394;1.39;1.3;2.12;1.02;1.18;2.27
"47";1985-02-16;0.471;1.15;1.18;2.23;0.94;1.13;1.28
"48";1985-02-17;0.41;1.08;0.97;1.78;0.85;1.12;0.75
"49";1985-02-18;0.379;1.02;1.11;1.32;0.78;1.04;1.14
"50";1985-02-19;0.43;0.95;0.95;1.22;0.68;0.94;1.08
"51";1985-02-20;0.48;1;1.03;1.26;0.65;0.85;1.09
"52";1985-02-21;0.47;1.03;1.4;1.33;0.7;0.78;1.18
"53";1985-02-22;0.409;1.14;1.4;1.26;0.65;0.74;1.32
"54";1985-02-23;0.407;1.09;1.26;1.24;0.56;0.7;1.1
"55";1985-02-24;0.392;1.18;1.22;1.32;0.52;0.78;1.06
"56";1985-02-25;0.392;1.14;1.28;1.34;0.5;0.8;1.83
"57";1985-02-26;0.394;1.4;1.25;1.42;0.54;0.75;2.59
"58";1985-02-27;0.391;1.66;1.72;1.9;0.69;0.82;3.12
"59";1985-02-28;0.394;1.39;1.3;1.52;0.83;0.86;3.68
"60";1985-03-01;0.395;1.73;1.84;1.35;0.98;0.88;4
"61";1985-03-02;0.456;1.23;1.43;2.75;1.05;0.94;2.99
"62";1985-03-03;0.394;1.17;1.44;1.83;1.17;1;2.86
"63";1985-03-04;0.386;1.07;1.11;2.78;1.22;1.24;2.11
"64";1985-03-05;0.398;0.99;1.05;2.22;1.23;1.38;1.89
"65";1985-03-06;0.413;1.38;1.27;1.55;1.22;1.35;1.94
"66";1985-03-07;0.428;1.71;1.81;1.67;1.21;1.46;1.93
"67";1985-03-08;0.397;1.33;1.38;1.47;1.27;1.42;1.78
"68";1985-03-09;0.457;1.12;1.21;1.28;1.3;1.32;1.35
"69";1985-03-10;0.42;1.5;1.12;1.21;1.1;1.19;1.19
"70";1985-03-11;0.918;0.97;0.77;1.23;0.92;1.17;1.02
"71";1985-03-12;0.903;1.19;0.62;1.27;0.81;1.07;0.91
"72";1985-03-13;0.837;1.03;0.51;1.29;0.74;1.05;0.85
"73";1985-03-14;0.886;0.9;0.64;1.28;0.65;0.89;0.73
"74";1985-03-15;0.947;0.76;0.47;1.29;0.58;0.86;0.66
"75";1985-03-16;0.99;0.65;0.48;1.3;0.45;0.8;0.81
"76";1985-03-17;0.964;0.62;0.47;1.42;0.38;0.79;0.72
"77";1985-03-18;0.838;0.81;0.57;1.48;0.32;0.71;0.77
"78";1985-03-19;0.881;0.76;0.53;1.47;0.3;0.64;0.75
"79";1985-03-20;0.802;0.84;0.49;1.45;0.38;0.71;0.73
"80";1985-03-21;0.801;0.95;0.66;1.45;0.44;0.66;1.01
"81";1985-03-22;0.927;0.96;0.89;1.47;0.52;0.64;1.17
"82";1985-03-23;0.92;1.1;0.97;1.43;0.58;0.71;1.26
"83";1985-03-24;0.875;1.13;1.1;1.31;0.61;0.69;1.29
"84";1985-03-25;0.515;1.1;0.98;1.27;0.62;0.72;1.33
"85";1985-03-26;0.426;1.1;1.26;1.26;0.62;0.69;1.09
"86";1985-03-27;0.48;1.15;0.79;1.5;0.61;0.72;1.22
"87";1985-03-28;0.406;1.02;0.82;1.68;0.67;0.71;0.79
"88";1985-03-29;0.422;1.03;0.72;1.74;0.61;0.91;0.74
"89";1985-03-30;1.049;1.04;1.09;1.98;0.72;1.04;1.16
"90";1985-03-31;0.729;1.17;1.33;1.56;0.91;1.19;1.58
"91";1985-04-01;1.276;1.74;1.78;1.85;1.15;1.37;1.56
"92";1985-04-02;1.668;2.3;2.45;2.83;1.41;1.45;1.04
"93";1985-04-03;1.996;4.26;4.19;4.67;1.78;1.69;1.53
"94";1985-04-04;2.821;4.36;4.81;4.45;1.85;1.98;2.68
"95";1985-04-05;3.652;5.29;5.49;5.8;2.28;2.39;3.45
"96";1985-04-06;3.522;6.27;5.65;5.16;2.82;2.76;4.42
"97";1985-04-07;3.246;4.52;4.49;5.13;3.12;2.83;5.19
"98";1985-04-08;3.083;4.91;5.15;5.14;3.35;2.91;4.69
"99";1985-04-09;3.71;4.74;4.72;5.07;3.25;3.47;3.53
"100";1985-04-10;5.567;5.64;4.76;7.92;3.82;4.11;7.01
"101";1985-04-11;4.092;3.86;4.98;5.33;4.56;4.17;1.45
"102";1985-04-12;3.989;3.87;4.05;2.86;3.74;3.85;1.98
"103";1985-04-13;3.56;3.48;4.32;3.74;3.87;4.64;3.94
"104";1985-04-14;3.716;4.01;4.28;2.82;3.48;4.83;4.11
"105";1985-04-15;3.292;2.95;3.14;3.75;3.13;4.23;3.64
"106";1985-04-16;2.987;2.63;2.99;2.81;2.98;2.95;4.11
"107";1985-04-17;3.168;3.04;3.05;3.29;2.58;3.01;3.52
"108";1985-04-18;2.938;2.86;2.78;2.77;2.42;2.89;3.45
"109";1985-04-19;3.241;2.82;2.57;3.42;2.26;2.75;3.24
"110";1985-04-20;4.599;3.63;3.83;3.62;2.57;3.12;3.02
"111";1985-04-21;5.679;3.79;4.15;3.86;2.82;2.89;4.25
"112";1985-04-22;6.166;4.77;5.12;3.79;3.11;3.26;4.44
"113";1985-04-23;5.079;4.69;4.33;5.27;3.72;3.65;6.28
"114";1985-04-24;5.4;3.68;4.07;4.74;3.7;3.5;6.53
"115";1985-04-25;4.902;3.2;3.91;4.86;3.76;3.37;5.06
"116";1985-04-26;5.284;3.76;3.8;4.58;3.71;3.27;4.17
"117";1985-04-27;5.378;3.8;3.7;4.21;3.9;3.32;4.37
"118";1985-04-28;5.664;3.85;3.1;1.81;3.38;2.72;2.74
"119";1985-04-29;3.739;3.45;3.21;1.69;2.9;2.49;2.36
"120";1985-04-30;3.107;3.6;3.24;2.14;2.41;2.23;2.79
"121";1985-05-01;3.435;3.62;3.76;1.93;2.27;2.25;3.39
"122";1985-05-02;3.766;4.81;4.33;2.36;2.18;2.09;3.43
"123";1985-05-03;3.523;4.88;4.19;3.33;2.27;2.03;3.57
"124";1985-05-04;3.226;4.65;4.84;3.98;2.4;2.2;3.19
"125";1985-05-05;3.722;4.1;4.4;2.6;2.5;2.21;3.5
"126";1985-05-06;4.782;5.17;5.54;4.45;2.83;2.57;4.65
"127";1985-05-07;5.912;6.4;6.47;5.78;3.58;3.41;5.99
"128";1985-05-08;7.033;9.77;8.97;8.52;4.02;4.31;7.33
"129";1985-05-09;5.126;8.01;6.72;5.85;4.95;4.73;6.52
"130";1985-05-10;4.845;7.3;7.04;5.82;4.92;5.24;6.36
"131";1985-05-11;5.845;9.75;9.2;7.79;5.89;6.32;7.66
"132";1985-05-12;7.344;9.81;10.76;10.36;7.63;7.36;10.53
"133";1985-05-13;12.491;14.24;11.59;18.81;9.03;8.47;14.66
"134";1985-05-14;19.524;19.12;16.1;22.15;12.45;10.68;16.28
"135";1985-05-15;18.464;19.18;15.97;16.79;14.6;13.34;16.07
"136";1985-05-16;17.735;18.83;16.12;17.42;16.2;15.53;16.86
"137";1985-05-17;17.641;19.17;20.53;20.38;18.21;16.96;18.59
"138";1985-05-18;16.314;20.77;19.38;22.78;19.41;17.52;19.55
"139";1985-05-19;15.547;21.13;21.35;22.96;20.11;17.96;18.42
"140";1985-05-20;16.067;21.91;20.35;23.24;20.59;18.77;20.83
"141";1985-05-21;16.216;21.9;21.97;22.66;20.6;19.27;21.89
"142";1985-05-22;15.25;19.09;19.65;13.86;19.89;19.08;19.04
"143";1985-05-23;14.118;16.44;14.98;13.78;19.12;18.71;17.01
"144";1985-05-24;13.963;15.6;14.36;16.4;18.96;18.13;16.49
"145";1985-05-25;14.667;15.76;16.57;13.82;19.34;17.58;19.23
"146";1985-05-26;16.153;23.26;22.22;18.77;19.82;17.42;20.95
"147";1985-05-27;18.725;28.11;27.72;20.58;20.65;18.09;23.03
"148";1985-05-28;19.969;25.98;25.1;22.78;21.18;18.78;22.16
"149";1985-05-29;20.208;25.09;24.97;23.45;22.34;19.86;24.27
"150";1985-05-30;18.979;23.75;23.87;22.76;23.38;20.75;23.41
"151";1985-05-31;19.493;23.57;23.06;22.43;24.02;21.15;22.72
"152";1985-06-01;19.606;20.27;21.84;22.46;24.51;21.3;22.34
"153";1985-06-02;18.806;22.61;23.4;22.56;24.43;21.21;22.9
"154";1985-06-03;18.897;25.19;22.38;22.81;24.1;21.06;21.6
"155";1985-06-04;18.29;27.15;23.24;23.33;24.02;21.11;22.81
"156";1985-06-05;16.875;29.22;27.3;23.08;24.41;21.23;23.34
"157";1985-06-06;18.033;25.28;26.91;23.54;24.52;21.32;20.79
"158";1985-06-07;25.455;24.95;24.79;23.67;24.35;21.16;26.15
"159";1985-06-08;23.369;26.68;25.33;22.27;24.55;21.28;26.59
"160";1985-06-09;18.912;21.36;22.59;13.7;24.59;21.5;22.74
"161";1985-06-10;16.085;16.12;18.62;13.71;24.45;21.4;20.25
"162";1985-06-11;14.638;15.63;15.66;15.63;23.56;21.17;17.03
"163";1985-06-12;12.751;14.99;14.31;12.92;21.47;20.23;16.03
"164";1985-06-13;12.201;15.7;14.59;12.69;18.54;18.76;16.37
"165";1985-06-14;11.221;14.62;14.54;11.8;16.94;16.97;14.34
"166";1985-06-15;14.405;15.71;16.26;18.39;16.02;16.03;17.36
"167";1985-06-16;13.821;13.73;15.31;16.87;16.01;15.87;15.11
"168";1985-06-17;15.341;15.92;16.07;17.72;16.44;16.93;15.63
"169";1985-06-18;13.018;14.25;13.46;14.18;17.01;17.47;13.8
"170";1985-06-19;11.52;12.81;13.86;11.87;16.83;16.95;12.83
"171";1985-06-20;12.331;15.19;15.12;17.22;16.84;16.79;13.73
"172";1985-06-21;11.172;13.24;13.83;14.23;16.83;16.11;12.8
