"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;0.764;0.96;0.69;1.35;NA;NA;0.85
"2";1983-01-02;0.741;0.75;0.74;1.35;NA;NA;0.65
"3";1983-01-03;0.911;0.86;0.88;1.36;NA;NA;0.44
"4";1983-01-04;0.983;0.94;0.8;1.4;NA;NA;0.35
"5";1983-01-05;1.296;0.91;1.15;1.25;1.39;1.96;0.28
"6";1983-01-06;1.386;1.87;1.46;1.35;1.71;2.14;1.43
"7";1983-01-07;1.171;1.91;1.42;1.45;1.83;2.26;2.01
"8";1983-01-08;0.939;1.1;1.53;1.37;1.71;2.11;1.13
"9";1983-01-09;0.88;0.63;1.08;1.28;1.38;1.93;1.16
"10";1983-01-10;0.852;0.71;1.06;1.3;1.14;1.89;1.07
"11";1983-01-11;0.867;0.68;1.07;1.82;1.06;1.92;0.69
"12";1983-01-12;0.836;1.06;1.26;2.25;1.11;1.96;0.45
"13";1983-01-13;0.828;0.92;1.34;2.19;1.23;2.02;0.7
"14";1983-01-14;0.872;1.52;1.18;1.26;1.29;2.01;0.68
"15";1983-01-15;0.972;1.87;1.55;1.3;1.49;2.09;0.18
"16";1983-01-16;1.032;1.6;1.83;1.55;1.58;2.28;2.37
"17";1983-01-17;1.161;2.5;2.18;2.04;1.61;2.3;2.42
"18";1983-01-18;1.127;2.77;2.19;2.4;1.91;2.3;3.85
"19";1983-01-19;1.002;1.57;1.28;2.2;1.95;2.11;2.02
"20";1983-01-20;0.989;1.1;1.3;1.76;1.89;1.77;1.18
"21";1983-01-21;0.95;1.06;1.25;1.5;1.6;1.58;1.22
"22";1983-01-22;0.898;1.37;1.22;1.62;1.26;1.8;1.26
"23";1983-01-23;0.835;1.4;1.25;1.88;1.13;1.91;1.66
"24";1983-01-24;1.028;1.16;1.35;2.38;1.14;1.97;1.58
"25";1983-01-25;1.112;1.04;1.36;3.49;1.24;2.09;1.72
"26";1983-01-26;0.973;0.73;1.38;2.93;1.52;2.29;1.4
"27";1983-01-27;1.094;2.02;1.91;3.42;1.92;2.51;3.25
"28";1983-01-28;1.207;2.1;2.19;3.74;2.16;2.65;3.06
"29";1983-01-29;1.157;2.16;1.8;3.94;2.35;2.72;2.8
"30";1983-01-30;1.23;2.19;1.57;2.04;2.51;2.7;2.26
"31";1983-01-31;1.181;1.63;1.66;1.44;2.36;2.42;0.77
"32";1983-02-01;1.199;2.08;2.11;1.63;2.52;2.5;1.16
"33";1983-02-02;1.12;1.53;2.15;1.36;2.51;2.42;1.53
"34";1983-02-03;1.014;2;1.84;1.28;2.34;2.33;1.11
"35";1983-02-04;0.968;1.34;1.55;1.23;2.14;2.17;0.82
"36";1983-02-05;1.11;1.42;1.53;1.23;1.98;2.11;0.87
"37";1983-02-06;0.933;1.29;1.48;1.25;1.75;1.98;0.83
"38";1983-02-07;0.954;1.19;1.25;1.24;1.48;1.83;0.5
"39";1983-02-08;1.009;0.98;1.1;1.25;1.35;1.82;0.16
"40";1983-02-09;0.92;0.74;0.92;1.26;1.2;1.8;0.05
"41";1983-02-10;0.943;0.63;0.81;1.25;1.12;1.8;0.06
"42";1983-02-11;0.892;0.55;0.79;1.24;1.1;1.76;0.06
