"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;0.406;0.17;0.2;0.19;NA;NA;0.15
"2";1985-01-02;0.4;0.16;0.23;0.19;NA;NA;0.11
"3";1985-01-03;0.395;0.17;0.19;0.2;NA;NA;0.11
"4";1985-01-04;0.389;0.2;0.16;0.2;NA;NA;0.17
"5";1985-01-05;0.384;0.17;0.12;0.21;0.28;0.32;0.2
"6";1985-01-06;0.379;0.19;0.15;0.23;0.29;0.38;0.31
"7";1985-01-07;0.373;0.19;0.12;0.23;0.31;0.44;0.36
"8";1985-01-08;0.368;0.19;0.15;0.24;0.31;0.48;0.39
"9";1985-01-09;0.362;0.17;0.14;0.24;0.3;0.53;0.45
"10";1985-01-10;0.357;0.16;0.14;0.24;0.3;0.54;0.46
"11";1985-01-11;0.351;0.16;0.14;0.24;0.3;0.56;0.52
"12";1985-01-12;0.346;0.16;0.13;0.24;0.31;0.46;0.54
"13";1985-01-13;0.34;0.16;0.1;0.25;0.33;0.38;0.43
"14";1985-01-14;0.335;0.17;0.08;0.25;0.34;0.3;0.4
"15";1985-01-15;0.329;0.17;-0.01;0.26;0.35;0.23;0.73
"16";1985-01-16;0.317;0.18;-0.06;0.26;0.39;0.16;0.4
"17";1985-01-17;0.307;0.17;0.1;0.26;0.39;0.23;0.97
"18";1985-01-18;0.304;0.17;0.16;0.25;0.34;0.22;0.38
"19";1985-01-19;0.301;0.15;0.09;0.25;0.27;0.14;0.49
"20";1985-01-20;0.298;0.15;0.11;0.23;0.21;0.09;0.57
"21";1985-01-21;0.294;0.13;0.14;0.23;0.16;0.01;0.8
"22";1985-01-22;0.291;0.14;0.14;0.26;0.09;-0.06;0.72
"23";1985-01-23;0.287;0.14;0.29;0.28;0.05;0.19;0.84
"24";1985-01-24;0.28;0.14;0.29;0.26;0.02;0.12;1.18
"25";1985-01-25;0.274;0.16;0.26;0.24;0.02;0.07;0.62
"26";1985-01-26;0.267;0.16;0.12;0.25;0.02;0.17;1.09
"27";1985-01-27;0.261;0.17;0.27;0.26;0.01;0.19;1.04
"28";1985-01-28;0.254;0.16;0.21;0.23;0.04;0.12;0.82
"29";1985-01-29;0.248;0.17;0.2;0.24;0.04;-0.05;0.62
"30";1985-01-30;0.241;0.15;0.17;0.26;0.01;0.04;0.39
"31";1985-01-31;0.236;0.14;0.19;0.24;0.02;0.11;0.6
"32";1985-02-01;0.23;0.15;0.1;0.24;0.04;-0.03;0.22
"33";1985-02-02;0.225;0.16;0.09;0.27;0.06;0.14;0.13
"34";1985-02-03;0.219;0.14;0.05;0.25;0.06;0.08;-0.01
"35";1985-02-04;0.214;0.15;0.09;0.24;0.04;0.24;0.18
"36";1985-02-05;0.208;0.14;0.12;0.21;0.06;0.18;-0.05
"37";1985-02-06;0.203;0.14;0.16;0.23;0.05;0.12;0.08
"38";1985-02-07;0.198;0.17;0.1;0.22;0.06;0.19;0.25
"39";1985-02-08;0.192;0.16;0.16;0.21;0.08;0.12;0.23
