"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;0.337;0.25;0.26;0.26;NA;NA;0.26
"2";1983-01-02;0.332;0.25;0.23;0.26;NA;NA;0.26
"3";1983-01-03;0.327;0.24;0.25;0.26;NA;NA;0.25
"4";1983-01-04;0.322;0.23;0.24;0.26;NA;NA;0.27
"5";1983-01-05;0.317;0.26;0.26;0.26;0.33;0.43;0.27
"6";1983-01-06;0.313;0.31;0.27;0.26;0.35;0.44;0.26
"7";1983-01-07;0.309;0.26;0.25;0.26;0.32;0.46;0.29
"8";1983-01-08;0.306;0.26;0.22;0.26;0.25;0.48;0.24
"9";1983-01-09;0.302;0.27;0.25;0.26;0.24;0.47;0.23
"10";1983-01-10;0.299;0.2;0.2;0.26;0.27;0.43;0.21
"11";1983-01-11;0.295;0.17;0.21;0.26;0.31;0.36;0.2
"12";1983-01-12;0.29;0.15;0.17;0.26;0.33;0.36;0.17
"13";1983-01-13;0.285;0.17;0.15;0.26;0.34;0.4;0.15
"14";1983-01-14;0.28;0.13;0.08;0.26;0.26;0.43;0.18
"15";1983-01-15;0.275;0.16;0.21;0.26;0.13;0.32;-0.35
"16";1983-01-16;0.271;0.15;0.24;0.26;0.1;0.28;0.32
"17";1983-01-17;0.266;0.18;0.21;0.26;0.1;0.32;-0.16
"18";1983-01-18;0.261;0.19;0.17;0.27;0.15;0.34;-0.16
"19";1983-01-19;0.256;0.17;0.19;0.26;0.1;0.3;0.08
"20";1983-01-20;0.251;0.18;0.24;0.26;0.04;0.24;0.34
"21";1983-01-21;0.247;0.19;0.19;0.26;0.07;0.15;0.28
"22";1983-01-22;0.243;0.19;0.18;0.26;0.24;0.1;0.27
"23";1983-01-23;0.239;0.21;0.23;0.26;0.36;0.14;0.25
"24";1983-01-24;0.235;0.2;0.17;0.26;0.39;0.17;0.22
"25";1983-01-25;0.231;0.18;0.17;0.26;0.38;0.34;0.26
"26";1983-01-26;0.227;0.21;0.24;0.26;0.37;0.51;0.28
"27";1983-01-27;0.223;0.23;0.32;0.26;0.38;0.52;0.23
"28";1983-01-28;0.219;0.22;0.3;0.26;0.41;0.53;0.21
"29";1983-01-29;0.215;0.25;0.25;0.26;0.49;0.56;0.23
"30";1983-01-30;0.211;0.25;0.28;0.26;0.47;0.59;0.26
"31";1983-01-31;0.207;0.21;0.17;0.26;0.37;0.58;0.31
"32";1983-02-01;0.203;0.23;0.26;0.26;0.4;0.52;0.36
"33";1983-02-02;0.199;0.21;0.22;0.26;0.34;0.5;0.33
"34";1983-02-03;0.195;0.2;0.12;0.26;0.37;0.47;0.25
"35";1983-02-04;0.188;0.21;0.2;0.26;0.35;0.43;0.2
"36";1983-02-05;0.181;0.2;0.17;0.26;0.42;0.41;0.17
"37";1983-02-06;0.174;0.16;0.22;0.26;0.44;0.39;0.2
"38";1983-02-07;0.172;0.15;0.11;0.26;0.47;0.41;0.21
"39";1983-02-08;0.17;0.15;0.12;0.26;0.48;0.41;0.2
"40";1983-02-09;0.168;0.14;0.13;0.26;0.46;0.47;0.14
"41";1983-02-10;0.166;0.13;0.11;0.26;0.47;0.48;0.14
"42";1983-02-11;0.164;0.12;0.11;0.26;0.47;0.49;0.13
"43";1983-02-12;0.162;0.11;0.08;0.26;0.47;0.49;0.14
"44";1983-02-13;0.16;0.11;0.1;0.26;0.46;0.51;0.19
"45";1983-02-14;0.158;0.13;0.17;0.26;0.43;0.5;0.12
"46";1983-02-15;0.156;0.14;0.17;0.26;0.4;0.5;0.13
"47";1983-02-16;0.157;0.13;0.14;0.26;0.35;0.5;0.13
"48";1983-02-17;0.158;0.13;0.17;0.26;0.33;0.49;0.17
"49";1983-02-18;0.159;0.08;0.07;0.26;0.3;0.49;0.14
"50";1983-02-19;0.16;0.08;0.12;0.26;0.29;0.48;0.2
"51";1983-02-20;0.161;0.09;0.17;0.26;0.26;0.48;0.18
"52";1983-02-21;0.162;0.09;0.15;0.26;0.25;0.48;0.19
"53";1983-02-22;0.163;0.08;0.13;0.26;0.23;0.48;0.17
"54";1983-02-23;0.164;0.08;0.14;0.26;0.23;0.47;0.16
"55";1983-02-24;0.165;0.07;0.15;0.26;0.24;0.44;0.17
"56";1983-02-25;0.166;0.06;0.07;0.26;0.24;0.43;0.2
