"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;16.582;17.58;16.5;15.9;NA;NA;19.2
"2";1985-01-02;16.828;17.17;13.46;15.57;NA;NA;16.64
"3";1985-01-03;16.67;26.12;23.89;18.74;NA;NA;13.7
"4";1985-01-04;14.758;17.67;14;18.25;NA;NA;24.13
"5";1985-01-05;14.833;26.77;29.66;17.22;17.41;20.44;34.51
"6";1985-01-06;14.622;18.94;21.72;16.14;19.01;22.05;53.55
"7";1985-01-07;14.412;21.76;20.72;15.04;21.04;23.41;50.08
"8";1985-01-08;14.195;24.61;20.61;14.7;20.75;20.83;38.69
"9";1985-01-09;13.965;26.55;20.97;14.63;20.25;20.31;30.36
"10";1985-01-10;13.634;24.84;21.76;14.57;17.93;22.44;26.62
"11";1985-01-11;13.361;21.27;17.63;14.56;15.12;22.43;27.23
"12";1985-01-12;13.122;18.13;18.53;14.55;11.97;22.04;26.71
"13";1985-01-13;12.949;18.38;20.56;14.58;9.01;21.56;25.85
"14";1985-01-14;12.602;17.58;19.05;14.58;6.42;15.5;24.07
"15";1985-01-15;12.271;13.29;18.64;14.56;4.31;14.22;26.07
"16";1985-01-16;11.893;11.12;15.18;14.56;2.74;9.94;23.71
"17";1985-01-17;11.59;10.96;9.18;14.59;2.07;9.16;18.81
"18";1985-01-18;11.192;9.95;9.27;14.69;1.79;10.99;15.63
"19";1985-01-19;10.87;12.09;10.78;15.37;2.3;11.15;9.53
"20";1985-01-20;10.646;8.01;10.41;20.2;5.37;14.11;16.34
"21";1985-01-21;10.612;16.27;7.54;21.68;10.39;16.49;24.14
"22";1985-01-22;11.474;15.63;32;33.13;21.66;24.59;37.01
"23";1985-01-23;85.211;78.28;101.34;181.29;60.37;52.28;151.53
"24";1985-01-24;133.284;125.01;126.65;187.24;104.55;77.15;193.87
"25";1985-01-25;66.482;32.2;34.34;68.2;105.67;84.45;35.14
"26";1985-01-26;57.646;38.32;30.18;43.21;99.14;87.17;34.67
"27";1985-01-27;64.391;26.72;51.46;51.22;97.29;97.05;52.64
"28";1985-01-28;55.745;42.99;42.13;45.55;82.2;89.26;42.18
"29";1985-01-29;43.562;39.4;33.87;42.89;64.9;63.35;29.54
