"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;26.6;26.76;29.88;21.53;NA;NA;27.55
"2";1983-01-02;24.538;25.07;28.61;23.23;NA;NA;27.15
"3";1983-01-03;25.694;30.55;35.86;27.68;NA;NA;29.9
"4";1983-01-04;36.344;45.5;57.46;38.44;NA;NA;44.3
"5";1983-01-05;96.409;86.86;75.27;99.07;42.84;41.32;85.92
"6";1983-01-06;168.072;111.52;100.26;175.29;66.44;74.77;128.33
"7";1983-01-07;77.427;98.07;86.19;107.63;84.74;92.61;94.56
"8";1983-01-08;72.721;71.74;69.35;68.62;104.57;104.73;73.06
"9";1983-01-09;51.738;48.87;53.67;54.75;120.69;112.13;53.59
"10";1983-01-10;42.331;40.93;45.69;42;108.77;102.57;42.94
"11";1983-01-11;35.704;30.02;31.08;32.74;76.2;74.39;33.49
"12";1983-01-12;31.42;25.85;28.4;31.18;55.19;55.24;30.92
"13";1983-01-13;27.576;25.09;29.21;29.68;40.75;36.75;30.11
"14";1983-01-14;29.21;39.37;35.32;35.16;36.67;33.34;36.55
"15";1983-01-15;29.447;47.6;31.25;42.2;37.71;33.99;31.01
"16";1983-01-16;76.773;112.24;117.65;81.65;48.98;44.13;85.85
"17";1983-01-17;118.22;134.93;130.53;125.06;63.41;59.88;124.5
"18";1983-01-18;77.843;101.04;92.44;80.61;73.62;68.42;86.36
"19";1983-01-19;54.967;66.8;64.19;52.11;79.3;75.5;55.42
"20";1983-01-20;41.784;47.62;55.04;42.48;90.61;87.33;37.93
"21";1983-01-21;34.852;36.74;37.42;32.71;80.29;71.89;31.09
"22";1983-01-22;31.161;30.55;28.21;29.38;53.97;53.89;28.09
"23";1983-01-23;26.69;29.08;29.49;25.75;41.74;40.53;25.82
"24";1983-01-24;24.486;25.31;22.92;23.84;33.75;29.79;25.9
"25";1983-01-25;23.141;24.13;22.94;23.86;29.22;24.5;25.05
"26";1983-01-26;24.892;35.58;41.18;29.77;30.44;24.33;30.27
