"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;21.836;26.76;30.33;27.8;NA;NA;33.35
"2";1985-01-02;26.087;26.52;32.71;27.73;NA;NA;31.7
"3";1985-01-03;39.623;26.24;21.13;27.73;NA;NA;33.49
"4";1985-01-04;37.986;26.46;19.47;27.69;NA;NA;31.74
"5";1985-01-05;25.928;27.62;25.63;27.7;37.47;25.86;26.85
"6";1985-01-06;27.16;25.42;22.66;27.7;36.38;24.09;23.32
"7";1985-01-07;44.771;27.16;23.87;27.66;37.93;25.37;20.84
"8";1985-01-08;46.189;27.07;24.68;27.64;37.05;26.59;19.92
"9";1985-01-09;45.74;24.98;23.19;27.63;37.52;25.99;19.82
"10";1985-01-10;44.844;24.82;24.66;27.63;37.74;26.28;20.79
"11";1985-01-11;44.107;25.53;24.44;27.63;37.22;26.38;21.94
"12";1985-01-12;25.409;25.66;22.67;27.63;37.47;25.3;22.83
"13";1985-01-13;20.872;22.76;21.24;27.63;36.6;23.79;24.05
"14";1985-01-14;42.723;20.95;19.35;27.63;36.26;22.3;31.36
"15";1985-01-15;39.549;26.48;30.77;27.78;34.49;21.47;52.09
"16";1985-01-16;44.676;17.95;13.04;35.03;33.32;22.89;51.1
"17";1985-01-17;53.033;29.24;41.39;39.01;30.1;22.84;37.72
"18";1985-01-18;41.572;22.61;29.81;35.39;26.7;24.29;49.99
"19";1985-01-19;22.88;23.57;22.55;28.46;22.72;24.49;43.9
"20";1985-01-20;16.179;25.43;19.85;28.4;24.89;23.95;47.55
"21";1985-01-21;38.311;26.16;30.02;28.35;24.67;25.05;48.65
"22";1985-01-22;42.352;28.28;32.25;29.91;25.92;25.57;49
"23";1985-01-23;38.013;29.18;36.73;32.01;26.89;27.82;54.62
"24";1985-01-24;38.185;33.59;31.57;32.89;27.87;28.19;49.82
"25";1985-01-25;34.584;29.15;30.74;33.53;27.36;29.45;35.53
"26";1985-01-26;22.052;31.04;37.03;37.96;28.23;30.34;37.78
"27";1985-01-27;18.6;29.51;33.7;34.98;29.47;29.32;37.52
"28";1985-01-28;37.486;26.57;32.73;30.23;29.38;28.16;31.79
"29";1985-01-29;39.5;28.39;33.99;28.65;31.73;28.55;31.28
