"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;29.073;39.79;41.64;42.34;NA;NA;40.68
"2";1983-01-02;25.483;40.67;38.33;42.94;NA;NA;39.95
"3";1983-01-03;46.413;37.45;38.61;42.85;NA;NA;39.55
"4";1983-01-04;51.681;34.53;41.8;42.55;NA;NA;40.2
"5";1983-01-05;53.637;31.49;38.79;42.43;44.45;38.47;41.77
"6";1983-01-06;43.794;32.24;41.74;42.88;45.75;37.71;44.81
"7";1983-01-07;43.201;33.61;37.8;40.7;45.8;39.49;41.81
"8";1983-01-08;28.191;33.54;36.07;40.26;45.42;39.43;39.27
"9";1983-01-09;24.501;36.88;40.1;39.98;44.86;39.72;40.65
"10";1983-01-10;48.032;39.53;35.6;39.06;45.27;39.53;39.18
"11";1983-01-11;53.442;36.74;32.99;35.64;45.1;37.95;37.29
"12";1983-01-12;52.448;36.62;30.66;34.64;44.73;36.1;35.05
"13";1983-01-13;46.999;35.18;33.31;36.3;43.55;36.32;35.24
"14";1983-01-14;49.603;33.36;31.41;32.49;41.06;35.62;33.27
"15";1983-01-15;30.538;30.15;33.53;36.22;37.09;35.06;34.6
"16";1983-01-16;25.308;35.33;33.27;37.12;36.4;33.7;37.4
"17";1983-01-17;42.846;35.63;35.41;37.24;38.54;32.83;39.51
"18";1983-01-18;50.004;31.92;35.1;30.94;41.14;31.48;35.94
"19";1983-01-19;51.653;32.79;33.87;33.2;41.09;29.52;33.05
"20";1983-01-20;47.752;33.82;33.93;36;39.39;30.2;38.56
"21";1983-01-21;49.758;33.97;36.97;33.52;38.71;32.38;39.12
"22";1983-01-22;34.968;36.1;32.87;31.53;39.19;33.2;37.35
"23";1983-01-23;25.703;42.62;39.78;32.19;40.46;31.26;34.25
"24";1983-01-24;47.365;31.23;33.81;37.31;40.97;33.11;32.54
"25";1983-01-25;55.686;33.15;34.43;44.1;39.55;30.09;31.78
"26";1983-01-26;54.083;31.24;34.6;31.27;37.51;32.96;30.67
"27";1983-01-27;50.618;28.77;33.78;31.31;36.75;31.53;32.64
"28";1983-01-28;49.461;28.07;38.05;34.08;37.32;32.42;35.24
"29";1983-01-29;27.476;35.46;43.15;41.67;38.95;33.77;37.1
"30";1983-01-30;23.27;38.85;40.78;37.33;40.34;32.01;35.78
"31";1983-01-31;46.528;37.78;36.62;37.83;39.9;34.25;34.59
"32";1983-02-01;49.89;37.27;37.66;36.37;40.25;35.77;37.81
"33";1983-02-02;48.994;30.3;36.38;35.19;39.91;36.24;35.56
"34";1983-02-03;49.588;30.89;34.4;33.91;39.15;35.73;34.82
"35";1983-02-04;43.452;32.89;34.54;33.62;39.39;36.67;34.01
"36";1983-02-05;22.444;29.94;33.89;32.08;38.83;34.95;33.3
"37";1983-02-06;20.608;30.75;31.66;30.95;37.73;32.04;31.28
"38";1983-02-07;42.197;32.81;30.97;30.11;36.59;34.12;31.99
"39";1983-02-08;46.649;31.96;30.3;30.05;35.85;30.83;30.16
"40";1983-02-09;44.091;29.19;28.94;30.84;34.68;31.97;28.55
"41";1983-02-10;43.162;31.83;29.87;30.67;34.08;29.64;27.35
"42";1983-02-11;43.193;33.89;31.96;29.8;34.25;28.09;27.78
"43";1983-02-12;23.72;34.04;32.6;29.54;34.79;28.67;29.41
"44";1983-02-13;19.706;30.15;30.9;29.23;34.98;28.44;29.98
"45";1983-02-14;36.608;29.51;29.19;29.14;34.84;29.07;31.9
"46";1983-02-15;39.732;28.12;28.48;29.07;33.59;27.96;32.9
"47";1983-02-16;40.188;32.27;28.77;29.1;32.4;27.5;32.92
"48";1983-02-17;35.72;32.57;29.42;29.11;31.83;27.11;32.77
"49";1983-02-18;35.644;34.81;31.44;29.08;31.78;27.36;33.57
"50";1983-02-19;20.211;35.82;33.21;29.07;31.76;26.57;34.33
"51";1983-02-20;18.697;33.82;30.33;29.09;31.71;25.77;34.32
"52";1983-02-21;32.197;32.64;29.7;29.12;31.21;25.86;33.8
"53";1983-02-22;32.665;34.3;30.22;29.15;30.72;24;32.93
"54";1983-02-23;32.993;29.89;31.64;29.2;30.7;24.38;32.83
"55";1983-02-24;26.959;30.07;28.95;29.21;31.3;24.28;32.76
"56";1983-02-25;25.514;30.78;25.08;29.16;31.6;25.58;31.23
"57";1983-02-26;21.679;30.32;23.77;29.15;31.46;25;30.08
"58";1983-02-27;17.245;29.76;22.89;29.11;31.06;24.65;29.91
"59";1983-02-28;23.391;29.62;25.5;29.09;30.73;23.96;31.12
"60";1983-03-01;29.771;30.41;22.13;29.11;30.28;23.42;31.07
"61";1983-03-02;29.13;24.39;20.07;29.19;29.85;23.89;31.09
"62";1983-03-03;27.265;27.14;21.32;29.16;30.03;23.85;31.63
"63";1983-03-04;24.511;25.73;23.36;29.14;30.69;22.86;31.08
"64";1983-03-05;18.518;25.72;22.88;29.16;31.16;22.74;31.02
"65";1983-03-06;17.893;21.52;20.79;29.2;31.32;22.95;30.57
"66";1983-03-07;23.328;21.68;24.25;29.41;31.32;22.04;29.92
"67";1983-03-08;25.834;28.85;31.29;29.59;30.94;22.12;29.93
"68";1983-03-09;26.498;30.69;32.35;29.83;30.66;22.35;30.63
"69";1983-03-10;27.401;36.58;36.04;30.6;31.14;22.59;32.17
"70";1983-03-11;24.876;40.35;41.01;31.82;32.45;24.88;34.05
"71";1983-03-12;20.383;39.86;42.59;33.91;34.32;26.22;34.75
"72";1983-03-13;18.067;41.67;42.2;35.63;36.19;27.13;34.14
"73";1983-03-14;28.013;37.79;36.07;31.92;36.57;29.69;33.96
"74";1983-03-15;32.289;35.36;39.34;38.55;35.16;31.72;32.7
"75";1983-03-16;36.478;41.79;41.38;38.33;38.53;32.74;42.08
"76";1983-03-17;36.357;41.04;41.7;39.68;40.11;31.61;37.44
"77";1983-03-18;36.593;39.66;38.52;29.98;40.67;34.18;30.05
"78";1983-03-19;29.215;38.57;37.92;30.88;41.28;32.07;32.69
"79";1983-03-20;24.708;41.43;38;32.3;40.88;29.22;38.18
"80";1983-03-21;36.244;37.71;39.7;34.75;39.52;28.84;43.1
"81";1983-03-22;32.785;41.73;39.74;33.41;41.17;30.42;35.99
"82";1983-03-23;34.662;44.9;39.16;35.44;39.69;32.04;35.28
"83";1983-03-24;33.898;39.7;34.59;37.35;38.49;28.69;32.72
"84";1983-03-25;35.263;36.09;36.73;39.58;39.62;30.79;34.52
"85";1983-03-26;28.291;35.3;35.02;36.48;38.76;29.95;34.53
"86";1983-03-27;22.8;37.42;31.38;33.96;38.2;33.31;35.87
"87";1983-03-28;35.968;32.53;30.91;31.81;38.49;34.26;34.83
"88";1983-03-29;35.767;32.31;29.07;30.32;38.96;32.94;32.09
"89";1983-03-30;34.716;29.47;30.15;29.99;38.64;32.2;31.82
"90";1983-03-31;36.65;33.28;28.94;29.78;38.52;30.26;28.54
"91";1983-04-01;25.947;31.42;29.73;30.57;37.71;30.2;26.91
"92";1983-04-02;26.144;31.92;29.28;30.27;37;29.54;26.95
"93";1983-04-03;21.621;30.25;31.93;34.03;35.5;28.11;26.73
"94";1983-04-04;21.684;31.05;32.26;37.54;36.56;28.71;30.16
"95";1983-04-05;35.213;30.57;27.9;33.57;36.53;29.43;32.2
"96";1983-04-06;36.703;32.98;32.65;29.95;36.6;27.97;27.84
"97";1983-04-07;34.509;31.89;32.97;29.87;37.08;29.45;28.73
"98";1983-04-08;33.885;28.34;33.4;29.56;37.14;29.95;27.6
"99";1983-04-09;25.238;29.63;34;30.46;36.67;29.76;29.85
"100";1983-04-10;26.811;31.4;36.1;30.52;37.04;29.75;28.08
"101";1983-04-11;40.402;38.68;31;46.77;36.76;33.58;33.33
"102";1983-04-12;61.179;49.99;54.04;66.64;42.43;35.34;60.52
"103";1983-04-13;55.769;40.5;37.87;44.59;41.93;36.11;43.87
"104";1983-04-14;43.373;39.55;33.94;35.53;41.2;37.5;39.76
"105";1983-04-15;42.213;32.82;32.31;32.15;42.38;38.96;38.82
"106";1983-04-16;30.195;28.9;33.98;33.16;43.29;35.86;35.25
"107";1983-04-17;26.723;24.9;34.79;35.8;40.17;32.23;35.64
"108";1983-04-18;39.732;30.81;32.27;31.36;39.17;32.8;31.86
"109";1983-04-19;45.385;35.6;36.82;43.85;38.32;35.62;34.88
"110";1983-04-20;55.734;40.65;42.56;55.9;41.86;37.12;48.74
"111";1983-04-21;61.821;78.13;74.89;73.82;48;43.45;67.82
"112";1983-04-22;158.586;92.94;100.31;153.03;70.71;59.88;143.22
"113";1983-04-23;102.595;82.63;79.38;120.33;87.76;70.19;125.4
"114";1983-04-24;90.713;96.22;82.52;106.97;96.71;82.89;116.12
"115";1983-04-25;98.491;89.3;77.34;91.38;106.47;91.4;94.89
"116";1983-04-26;95.608;100.32;102.42;122.08;98.25;92.19;77.05
"117";1983-04-27;113.392;124.32;120.34;90.25;98.19;96.75;125.81
"118";1983-04-28;96.101;91.78;109.29;106.57;93.65;98.45;108.78
"119";1983-04-29;100.771;112.61;116.63;104.6;96.49;101.64;107.25
"120";1983-04-30;99.406;95.48;117.41;122.75;104.77;120.45;115.4
"121";1983-05-01;216.36;177.5;242.64;137.56;114.75;130.55;182.56
"122";1983-05-02;202.671;236.53;205.01;198;127.36;153.52;214.63
"123";1983-05-03;146.25;147.11;129.48;159.77;135.33;144.67;143.54
"124";1983-05-04;126.534;129.73;119.43;133.4;141.74;154.26;121.55
"125";1983-05-05;116.126;114.97;115.8;123.55;152.61;158.56;119.96
"126";1983-05-06;107.455;103.25;95;111.17;143.47;139.34;110.22
"127";1983-05-07;114.616;110.99;116.78;109.48;123.24;133.14;128.39
"128";1983-05-08;205.93;128.42;158.32;223.2;129.57;135.15;182.01
"129";1983-05-09;148.294;129.95;136.98;159.62;142;147.94;163.82
"130";1983-05-10;128.227;130.82;131.74;158.91;144.24;151.67;120.66
