"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1985-01-01;2.053;2.14;2.35;1.82;NA;NA;2.22
"2";1985-01-02;2.066;2.12;2.27;1.74;NA;NA;2.21
"3";1985-01-03;1.931;2.14;1.79;2.01;NA;NA;1.74
"4";1985-01-04;1.831;1.95;1.92;1.88;NA;NA;1.11
"5";1985-01-05;1.533;1.95;1.84;1.71;1.9;1;0.61
"6";1985-01-06;1.425;2.15;1.91;2.01;1.86;0.85;-0.05
"7";1985-01-07;1.638;2.06;1.94;1.94;1.7;0.74;0.33
"8";1985-01-08;1.624;2.1;1.84;1.8;1.6;0.62;0.31
"9";1985-01-09;1.466;2.14;1.84;1.95;1.54;0.52;-0.11
"10";1985-01-10;1.51;2.1;1.76;1.77;1.4;0.47;-0.35
"11";1985-01-11;1.343;2.24;1.86;1.63;1.26;0.44;-0.55
"12";1985-01-12;1.319;2.15;1.53;1.62;1.08;0.44;-0.62
"13";1985-01-13;1.322;2.17;1.8;1.57;0.87;0.46;-0.71
"14";1985-01-14;1.311;1.55;1.18;1.53;0.77;0.48;-0.47
"15";1985-01-15;1.267;1.5;1.49;1.52;0.64;0.49;-0.07
"16";1985-01-16;1.235;1.46;1.41;1.51;0.54;0.51;0.14
"17";1985-01-17;1.219;1.42;1.31;1.5;0.52;0.54;0.78
"18";1985-01-18;1.237;1.5;1.21;1.48;0.44;0.64;1.08
"19";1985-01-19;1.257;1.7;1.34;1.59;0.55;0.77;3.42
"20";1985-01-20;1.199;1.66;1.52;1.57;0.63;0.93;2.52
"21";1985-01-21;1.343;1.42;1.44;1.45;0.78;1.43;0.89
"22";1985-01-22;7.91;11.89;17.38;7.31;2.61;3.56;9.26
"23";1985-01-23;42.533;24.34;35.83;43.59;8.23;6.07;23.84
"24";1985-01-24;22.119;12.57;14.15;16.37;11.43;9.21;14.33
"25";1985-01-25;10.622;8.39;7.8;8.11;13.25;13.04;11.31
"26";1985-01-26;16.098;8.56;11.1;8.2;16.35;15.75;11.31
"27";1985-01-27;16.874;11.97;15.97;14.03;16.75;15.71;9.33
"28";1985-01-28;8.736;8.01;9.01;8.99;13.37;14.42;9.39
"29";1985-01-29;6.441;5.49;5.35;9.06;12.72;12.82;11.33
"30";1985-01-30;6.036;5.9;6.04;7.68;11.54;11.62;9.47
"31";1985-01-31;6.089;5.28;7.14;7.46;9.97;10.42;8.39
"32";1985-02-01;7.501;5.33;6.35;6.8;8.76;9.21;9.24
"33";1985-02-02;7.794;7.01;7.43;6.92;8.2;8.64;9.24
"34";1985-02-03;9.767;7.91;7.69;7.6;7.78;8.22;9.32
"35";1985-02-04;8.525;8.27;7.89;7.85;7.79;7.91;8.74
"36";1985-02-05;6.372;7.31;7.89;5.95;7.6;7.72;6.99
"37";1985-02-06;5.779;5.33;6.29;5.15;6.9;7.22;5.54
"38";1985-02-07;5.462;5.43;5.2;4.94;6.43;6.76;5.4
"39";1985-02-08;5.439;5.8;5.62;4.97;6.1;6.61;4.83
"40";1985-02-09;6.989;5.78;5.72;6.2;6.21;6.88;6.05
"41";1985-02-10;8.505;6.32;6.5;8.07;6.65;7.36;6.95
"42";1985-02-11;6.25;5.77;5.59;6.2;6.84;7.6;4.5
"43";1985-02-12;5.309;4.8;4.88;3.98;6.62;7.57;5.58
"44";1985-02-13;4.816;3.82;4.88;3.99;6.31;7.57;5.48
"45";1985-02-14;5.165;9.52;8.22;4.73;6.13;8.03;7.19
"46";1985-02-15;10.184;12.75;15.63;23.42;6.88;9.26;17.77
"47";1985-02-16;7.679;9.58;11.82;11.29;7.97;11.24;9.79
"48";1985-02-17;6.388;10.6;11.27;8.15;9.11;13.23;7.44
"49";1985-02-18;5.578;7.64;9.75;7.81;9.4;14.1;5.46
"50";1985-02-19;5.044;6.94;7.46;5.6;9.17;13.83;5.37
"51";1985-02-20;4.712;5.09;4.75;5.23;8.17;12.3;6.94
"52";1985-02-21;4.488;3.51;3.36;4.97;6.86;9.69;3.64
"53";1985-02-22;4.272;3.72;3.35;4.58;5.4;7.02;2.7
"54";1985-02-23;4.027;3.45;3.33;4.2;4.38;4.98;2.93
"55";1985-02-24;3.887;3.46;3.62;3.82;3.8;3.76;2.7
"56";1985-02-25;3.842;3.03;3.29;3.73;3.46;3.2;3.28
"57";1985-02-26;3.786;3.34;3.45;4.2;3.38;3.13;3.9
"58";1985-02-27;3.901;4.05;4.67;4.62;3.42;3.34;4.26
"59";1985-02-28;4.675;4.77;4.97;4.94;3.61;3.7;4.76
"60";1985-03-01;5.903;4.12;4.95;5.5;3.94;4.72;3.5
"61";1985-03-02;16.299;5.35;7.27;7.55;5.11;5.7;6.63
"62";1985-03-03;12.014;5.49;4.51;7.41;5.76;6.46;6.41
"63";1985-03-04;10.471;5.32;5.76;6.49;6.33;8.25;6.98
"64";1985-03-05;17.624;9.93;8.06;10.63;8.2;9.57;10.99
"65";1985-03-06;13.192;10.51;10.37;10.89;9.29;10.52;9.98
"66";1985-03-07;10.489;9.63;9.62;10.41;9.12;11.32;10.22
"67";1985-03-08;9.371;8.88;9;8.94;9.83;11.02;8.34
"68";1985-03-09;7.639;7.94;7.69;7.4;9.72;10.48;7.6
"69";1985-03-10;6.746;7.21;6.93;6.62;8.27;9.18;6.76
"70";1985-03-11;6.205;5.67;6.22;5.42;7.46;7.78;5.52
"71";1985-03-12;5.706;5.57;5.5;5.03;6.6;6.88;4.98
"72";1985-03-13;5.316;4.9;5.08;4.81;5.94;6.1;4.77
"73";1985-03-14;5.071;4.64;4.85;4.69;5.5;5.62;4.49
"74";1985-03-15;4.798;4.3;4.38;4.56;5.13;5.26;4.41
"75";1985-03-16;4.646;3.4;3.18;3.76;4.57;4.99;3.88
"76";1985-03-17;4.398;3.14;2.65;3.67;4.28;4.76;4.26
"77";1985-03-18;4.208;2.96;3.06;3.64;4.09;4.43;3.43
"78";1985-03-19;4.02;2.87;2.64;3;3.87;4.04;2.7
"79";1985-03-20;3.855;2.84;2.88;2.68;3.69;3.58;2.59
"80";1985-03-21;3.762;2.96;3.11;2.65;3.52;3.19;2.57
"81";1985-03-22;3.729;2.87;3.22;2.88;3.12;2.96;2.93
"82";1985-03-23;4.17;3.4;3.52;2.77;2.91;2.78;3.22
"83";1985-03-24;4.584;3.51;4.19;3.26;2.89;2.96;3.2
"84";1985-03-25;4.844;4.06;5.14;4.39;3.33;3.4;4.44
"85";1985-03-26;5.073;5.19;5.57;6.88;4.05;4;6.12
"86";1985-03-27;5.605;7.98;8.86;7.65;4.99;4.77;8.61
"87";1985-03-28;5.379;6.65;6.52;7.07;5.58;5.28;6.5
"88";1985-03-29;4.781;5.89;5.74;4.87;5.88;5.43;5.22
"89";1985-03-30;4.392;5.21;5.3;5.02;5.85;5.38;5.42
"90";1985-03-31;4.317;4.47;3.63;5.03;5.55;5.05;5.33
"91";1985-04-01;4.668;4.75;4.09;5.22;5.25;4.79;6.12
"92";1985-04-02;6.051;5.31;4.81;5.71;5.18;4.73;7.04
"93";1985-04-03;8.636;5.7;5.17;6.67;5.33;4.76;7.52
"94";1985-04-04;8.402;8.29;7.44;7.61;5.75;4.8;8.41
"95";1985-04-05;10.115;8.67;8.09;9.65;6.35;4.93;10.89
"96";1985-04-06;9.024;8.8;7.58;9.91;6.91;5.17;10.98
"97";1985-04-07;8.103;9.72;9.61;8.53;7.91;5.81;7.89
"98";1985-04-08;20.874;16.77;15.83;15.62;9.89;7.87;18.3
"99";1985-04-09;31.033;19.39;29.21;44.97;15.22;10.57;31.22
"100";1985-04-10;24.618;17.97;16.73;32.66;19.95;13.85;24.52
"101";1985-04-11;17.413;13.33;18.44;22.28;23.11;16.69;18.98
"102";1985-04-12;15.133;14.74;16.53;12.48;26.64;17.85;18.27
"103";1985-04-13;13.119;14.21;14.63;17.04;27.28;17.7;15.92
"104";1985-04-14;15.179;17.38;20.33;20.43;23.86;16.67;20.14
"105";1985-04-15;12.146;14.4;14.44;13.97;20.81;15.54;16.69
"106";1985-04-16;10.105;11.48;10.79;12.21;18.53;14.99;12.46
"107";1985-04-17;10.304;11.35;10.55;10.87;16.21;14.25;11.32
"108";1985-04-18;11.286;10.73;10.3;10.68;14.26;13.1;10.88
"109";1985-04-19;9.412;10.54;9.92;10.11;12.03;11.75;9.86
"110";1985-04-20;9.224;9.17;10.5;8.79;10.27;10.39;9.35
"111";1985-04-21;10.111;8.41;10.59;8.36;9.1;9.3;9.34
"112";1985-04-22;9.748;8.49;9.3;8.59;8.39;8.54;8.45
"113";1985-04-23;9.472;9.01;9.13;8.59;7.88;8.07;9.13
"114";1985-04-24;9.537;9.6;8.81;8.84;7.71;7.58;9.29
"115";1985-04-25;8.426;8.47;7.54;6.3;7.48;6.99;7.23
"116";1985-04-26;7.617;7.08;6.93;5.22;7.08;6.37;6.12
"117";1985-04-27;6.175;7.32;7.31;5.12;6.57;5.85;5.8
"118";1985-04-28;5.843;6.31;5.97;4.71;6.04;5.36;5.48
"119";1985-04-29;5.096;5.24;5.1;4.59;5.38;4.94;4.62
"120";1985-04-30;4.63;4.82;4.56;3.92;4.86;4.6;4.22
"121";1985-05-01;4.648;4.41;4.59;4.86;4.64;4.4;4.6
"122";1985-05-02;5.27;5.59;7.04;5.06;4.59;4.52;5.73
"123";1985-05-03;5.536;5.39;5.88;6.07;4.76;4.68;5.89
"124";1985-05-04;5.036;4.46;4.79;4.81;4.87;4.76;4.79
"125";1985-05-05;4.558;4.89;4.62;4.69;5.08;4.85;5.63
"126";1985-05-06;4.207;5.87;5.32;4.99;5.16;4.75;5.47
"127";1985-05-07;4.514;9.05;6;12.21;5.71;5.6;5.69
"128";1985-05-08;12.029;19.5;20.52;26.89;8.92;7.73;24.11
"129";1985-05-09;18.644;18.44;22.37;31.17;14.63;9.98;28.52
"130";1985-05-10;15.332;15.46;18;16.77;17.15;12.78;20.2
"131";1985-05-11;10.687;10.27;14.07;8.44;18.84;14.72;12.42
