"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1983-01-01;4.948;4.29;4.5;4.3;NA;NA;4.8
"2";1983-01-02;4.688;4.32;4.9;4.37;NA;NA;4.81
"3";1983-01-03;4.471;4.41;4.66;4.22;NA;NA;4.9
"4";1983-01-04;4.325;4.06;3.92;4.42;NA;NA;4.54
"5";1983-01-05;7.508;5.8;8.35;5.8;5.45;5.1;6.16
"6";1983-01-06;13.181;8.21;8.85;7.72;6.07;5.87;7.38
"7";1983-01-07;9.611;5.77;6.3;5.93;6.51;6.48;5.9
"8";1983-01-08;7.018;6.01;6.52;5.3;6.76;7.07;5.21
"9";1983-01-09;5.504;5.48;5.22;4.44;6.63;7.04;4.56
"10";1983-01-10;4.782;5.13;4.26;3.82;5.86;6.18;4.25
"11";1983-01-11;4.338;4.35;3.86;3.43;5.1;5.25;3.91
"12";1983-01-12;4.003;4.35;3.5;3.23;4.52;4.7;3.65
"13";1983-01-13;3.787;4.2;3.85;3.13;4.08;4.31;3.53
"14";1983-01-14;3.712;4.09;4.08;3.06;3.92;4.03;3.44
"15";1983-01-15;3.909;4.45;5.27;3.91;4.19;4;3.69
"16";1983-01-16;6.424;9.04;8.22;6.41;4.9;4.77;8.55
"17";1983-01-17;7.704;9.76;8.36;7.6;5.73;5.45;9.88
"18";1983-01-18;6.457;7.74;6.88;5.65;6.34;6.12;7.11
"19";1983-01-19;5.478;5.81;4.46;4.43;6.25;6.02;4.52
"20";1983-01-20;4.831;5.04;4.1;3.94;5.96;5.71;4.25
"21";1983-01-21;4.374;4.28;3.91;3.06;4.84;4.89;4.23
"22";1983-01-22;4;3.51;3.21;2.77;4.16;4.25;3.66
"23";1983-01-23;3.78;3.3;3.19;2.6;3.58;3.99;3.45
"24";1983-01-24;3.569;2.97;2.77;2.52;3.11;3.61;3.57
"25";1983-01-25;3.465;2.96;2.82;2.54;2.86;3.49;3.15
"26";1983-01-26;3.334;3.27;2.72;2.57;2.62;3.19;3.1
"27";1983-01-27;3.427;3.65;3.66;2.65;2.5;3.05;3.21
"28";1983-01-28;3.739;3.66;3.62;2.77;2.58;3.02;3.35
"29";1983-01-29;3.927;4.39;3.73;4.05;3.05;3.16;4.43
"30";1983-01-30;7.358;6.56;7.86;9.43;4.25;4.35;7.37
"31";1983-01-31;12.282;8.24;9.11;12.3;5.9;5.77;10.15
"32";1983-02-01;10.843;8.16;7.67;8.85;7.34;7.07;7.01
"33";1983-02-02;9.893;8.74;9.46;11.81;8.41;8.43;10.37
"34";1983-02-03;7.217;8.13;6.75;7.44;8.82;8.94;5.3
"35";1983-02-04;6.184;5.54;4.7;5.27;8.16;8.38;4.69
"36";1983-02-05;5.98;6.05;5.65;6.4;7.21;7.41;4.75
"37";1983-02-06;12.03;8.14;9.65;7.8;7.77;7.85;9.37
"38";1983-02-07;8.984;7.93;9.88;10.51;8.15;8.74;10.86
"39";1983-02-08;7.126;6.05;7.11;7.23;8.65;9.33;7.88
"40";1983-02-09;6.233;6.26;5.75;5.99;8.5;9.89;6.85
"41";1983-02-10;5.606;6.47;6.1;5.43;8.31;9.01;6.21
"42";1983-02-11;5.2;5.79;5.56;4.14;6.72;7;6.07
"43";1983-02-12;4.671;5.25;4.67;4.47;5.78;5.56;5.04
"44";1983-02-13;4.364;4.35;4.09;3.56;5.05;4.72;4.04
"45";1983-02-14;4.14;3.53;3.66;2.85;4.25;4.32;3.43
"46";1983-02-15;3.9;3.28;2.93;2.54;3.52;3.95;3.21
"47";1983-02-16;3.748;2.99;2.77;2.36;2.98;3.61;2.98
"48";1983-02-17;3.539;2.93;2.73;2.2;2.58;3.03;2.67
"49";1983-02-18;3.393;2.4;2.65;2.1;2.33;2.78;2.44
"50";1983-02-19;3.228;2.54;2.24;2.16;2.22;2.63;2.46
"51";1983-02-20;3.161;2.56;2.49;1.97;1.95;2.5;2.16
"52";1983-02-21;3.07;2.82;2.79;1.9;1.73;2.37;2.04
"53";1983-02-22;2.898;2.75;2.77;1.83;1.61;2.28;1.89
"54";1983-02-23;2.745;2.56;2.81;1.79;1.53;2.22;1.83
"55";1983-02-24;2.698;2.13;1.93;1.83;1.49;2.18;1.85
"56";1983-02-25;2.845;2.23;1.75;1.98;1.57;2.28;2.14
"57";1983-02-26;5.697;3.34;3.35;2.41;2.03;2.65;2.79
"58";1983-02-27;9.275;5.48;5.62;3.05;2.85;3.43;6.16
"59";1983-02-28;8.167;6.48;6.43;4.19;3.88;4.43;6.46
"60";1983-03-01;7.15;7.15;7.62;4.25;4.73;5.16;6.58
"61";1983-03-02;5.647;4.96;5.35;3.92;5.14;5.63;5.47
"62";1983-03-03;4.884;3.93;4.96;3.22;4.93;5.64;4.17
"63";1983-03-04;4.476;3.62;4.19;2.76;4.41;5;3.6
"64";1983-03-05;4.149;3.9;4.02;2.68;3.96;4.17;3.14
"65";1983-03-06;3.9;3.65;3.84;2.71;3.46;3.7;2.93
"66";1983-03-07;3.808;2.87;3.1;2.41;3.02;3.28;2.32
"67";1983-03-08;3.692;3.39;3.23;2.31;2.64;3.02;2.19
"68";1983-03-09;3.819;3.64;3.38;2.43;2.48;2.83;2.48
"69";1983-03-10;4.038;3.81;4.04;2.67;2.57;2.71;3.06
"70";1983-03-11;4.306;4.39;4.96;2.88;2.86;2.71;3.67
"71";1983-03-12;4.211;5.18;4.42;2.79;3.22;2.82;3.75
"72";1983-03-13;4.103;4.72;4.23;3.05;3.62;3.02;4.01
"73";1983-03-14;5.056;7.05;11.15;6.45;4.95;3.73;6.97
"74";1983-03-15;18.075;15.11;16.9;28.08;8.7;7.54;24.12
"75";1983-03-16;17.776;15.62;14.27;21.85;12.18;11.02;19.78
"76";1983-03-17;9.944;14.08;14.71;16.87;14.14;12.18;15.16
"77";1983-03-18;7.394;9.9;15.37;11.74;15.86;13.55;13.32
"78";1983-03-19;6.825;7.76;9.32;8.88;16.43;13.28;10.7
"79";1983-03-20;7.724;8.16;9.09;6.95;13.25;10.74;8.71
"80";1983-03-21;6.918;8.02;7.07;7.87;10.19;8.39;7.5
"81";1983-03-22;7.937;7.28;7.66;6.18;8.46;6.71;6.93
"82";1983-03-23;5.926;6.47;6.99;4.99;7.49;5.99;6.59
"83";1983-03-24;5.228;6.91;6.96;5.29;7.16;5.58;5.61
"84";1983-03-25;6.351;13.19;12.12;14.01;7.93;6.23;12.22
"85";1983-03-26;5.249;9.65;6.65;8.77;8.3;7.02;7.84
"86";1983-03-27;4.941;8.68;7.7;6.95;8.35;7.01;7.1
"87";1983-03-28;5.118;7.92;6.96;6.62;8.65;7.38;6.84
"88";1983-03-29;4.701;5.86;7.47;5.42;8.19;7.01;5.52
"89";1983-03-30;4.399;5.05;5.7;3.93;6.64;5.62;4.54
"90";1983-03-31;4.217;4.71;4.51;4.17;5.86;4.98;4.39
"91";1983-04-01;4.552;5.96;7.31;5.06;5.75;4.84;5.09
"92";1983-04-02;11.125;11.22;11.21;16.03;7.39;8.39;14.17
"93";1983-04-03;13.721;9.03;12;13.24;9;10.71;11.21
"94";1983-04-04;8.803;8.06;8.4;8.9;9.83;10.66;10.51
"95";1983-04-05;6.838;9.1;10.13;9.33;11.03;11.64;10.27
"96";1983-04-06;13.742;24.54;19.15;20.14;13.17;13.74;17.21
"97";1983-04-07;13.432;25.76;21.84;26.18;14.24;15.91;20.69
"98";1983-04-08;19.965;28.34;26.09;37.03;17.54;20.9;26.79
"99";1983-04-09;34.222;32.49;27.55;40.05;23.15;26.51;34.55
"100";1983-04-10;29.167;22.99;26.59;32.44;26.93;29.5;27.43
"101";1983-04-11;24.353;17.34;18;29.42;28.31;30.5;19.82
"102";1983-04-12;21.12;18.75;16.4;25.01;27.96;30.31;17.63
"103";1983-04-13;16.26;12.96;15.43;13.54;24.84;25.24;11.79
"104";1983-04-14;12.541;9.39;9.48;8.75;19.71;18.23;9.61
"105";1983-04-15;9.792;8.52;8.32;7.11;15.08;14.46;7.05
"106";1983-04-16;7.578;6.81;7.3;5.66;11.6;10.38;6.83
"107";1983-04-17;8.178;7.63;5.96;6.05;9.24;8.16;7.17
"108";1983-04-18;10.26;7.55;7;7.89;8;6.87;8.02
"109";1983-04-19;12.747;9.86;9.38;6.99;7.97;6.52;9.44
"110";1983-04-20;13.209;10.8;10.36;10.82;9.1;7.85;11.67
"111";1983-04-21;11.902;11.37;11.77;14.15;10.32;8.59;11.81
"112";1983-04-22;12.208;10.46;12.65;12.61;11.46;9.71;11.84
"113";1983-04-23;11.003;10.63;10.69;13.26;11.99;11.2;9.82
"114";1983-04-24;9.701;10.38;9.53;11.45;11.91;11.99;8.87
"115";1983-04-25;8.98;7.99;8.2;10.33;11;11.08;8.24
"116";1983-04-26;8.007;8.45;7.17;9.14;9.71;9.39;6.75
"117";1983-04-27;8.1;7.12;6.54;7.84;8.72;8.22;6.53
"118";1983-04-28;7.875;8.24;8.4;7.26;7.86;7.47;6.33
"119";1983-04-29;8.075;8.01;8.49;8.88;7.48;7.22;7
"120";1983-04-30;8.125;8.28;8.12;9.22;7.31;6.78;7.07
"121";1983-05-01;8.941;9.12;9.71;6.28;7.32;6.43;6.98
"122";1983-05-02;10.826;11.1;9.64;11.06;8.04;7.01;8.62
"123";1983-05-03;10.567;11.67;12.74;17.01;9.24;8.52;13.24
"124";1983-05-04;10.597;10.58;9.66;15.6;10.09;9.32;11.16
"125";1983-05-05;10.72;8.62;8.81;12.83;10.82;10.52;9.1
"126";1983-05-06;9.178;8.21;8.33;7.42;10.96;11.53;8.01
"127";1983-05-07;12.186;5.88;9.49;12;10.66;11.49;9.61
"128";1983-05-08;18.959;10.67;13.05;18.89;12.12;11.91;14.75
"129";1983-05-09;15.097;10.61;10.71;10.95;12.76;12.58;11.38
"130";1983-05-10;11.877;7.56;9.06;9.59;12.83;12.02;10.99
"131";1983-05-11;11.075;8.9;7.62;7.31;13.1;13.07;8.27
"132";1983-05-12;11.49;7.25;8.35;7.49;12.69;12.06;8.29
"133";1983-05-13;11.584;9.23;8.59;9.82;11.16;11.04;10.44
"134";1983-05-14;14.761;11.84;12.73;13.27;11.1;9.18;9.96
"135";1983-05-15;17.035;17.52;16.65;19.17;12.42;10.44;16.48
"136";1983-05-16;39.917;32.43;35.43;47.47;17.63;14.59;41.27
"137";1983-05-17;27.122;25.04;21.42;32.85;21.46;18.11;27.41
"138";1983-05-18;21.837;24.74;21.26;30.51;24.48;19.55;23.36
"139";1983-05-19;18.589;19.26;18.47;14.77;25.78;20.04;19.7
"140";1983-05-20;15.753;15.59;14.93;13.27;25.26;19.27;14.21
"141";1983-05-21;14.335;13.71;13.5;19.59;21.68;20.1;14.62
"142";1983-05-22;13.809;10.06;13.95;11.92;18.59;16.51;12.73
"143";1983-05-23;11.125;11.85;11.87;15.4;16.66;16.36;13.08
"144";1983-05-24;17.24;30.43;26.37;32.38;17.72;17.92;25.49
"145";1983-05-25;29.064;42.32;35.53;34.51;21.63;20.55;43.62
"146";1983-05-26;26.129;42.72;37.65;42.92;25.67;25.09;40.8
"147";1983-05-27;17.933;31.82;25.6;28.82;28.54;28.37;29.39
"148";1983-05-28;13.832;21.06;19.98;14.03;29.62;28.95;18.15
"149";1983-05-29;13.718;13.88;15.54;11.49;27.97;28.35;15.17
"150";1983-05-30;13.702;11.11;10.01;9.42;22.88;23.13;11.52
"151";1983-05-31;12.187;8.46;9.59;8.69;16.54;17.33;9.02
"152";1983-06-01;10.123;5.57;6.97;7.9;11.88;12.39;6.76
"153";1983-06-02;8.594;5.22;5.96;5.99;9.29;10.35;6
"154";1983-06-03;7.314;4.51;5.86;4.68;7.77;8.57;5.28
"155";1983-06-04;6.333;4.17;5.16;4.49;6.7;7.09;4.39
"156";1983-06-05;5.632;3.52;4.66;4.67;5.85;5.53;3.87
"157";1983-06-06;5.233;3.74;4;4.4;5.03;4.21;3.93
"158";1983-06-07;4.729;3.76;3.66;4.42;4.35;3.53;3.24
"159";1983-06-08;4.415;3.24;3.16;4.52;3.74;3.21;2.79
