"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1991-01-01;2.74;2.28;2.46;2.14;NA;NA;1.75
"2";1991-01-02;2.506;2.64;2.28;2.17;NA;NA;1.62
"3";1991-01-03;2.483;2.49;2.38;2.33;NA;NA;2.19
"4";1991-01-04;2.869;3;2.8;2.48;NA;NA;2.35
"5";1991-01-05;3.136;2.93;2.32;2.54;1.96;2.66;3.08
"6";1991-01-06;2.725;2.96;2.2;2.31;1.88;2.86;2.95
"7";1991-01-07;2.664;2.23;2.2;2.31;1.91;2.66;2.7
"8";1991-01-08;2.613;2;2.63;2.28;2.06;3.21;1.62
"9";1991-01-09;2.518;1.98;2.66;2.25;2.05;3.71;2.01
"10";1991-01-10;2.493;2.05;2.04;2.29;1.82;3.71;2.05
"11";1991-01-11;2.736;2.26;2.76;2.32;1.92;2.99;2.57
"12";1991-01-12;3.799;2.83;1.81;2.54;1.88;2.82;2.67
"13";1991-01-13;4.153;2.68;2.7;2.89;2.03;3.28;-0.21
"14";1991-01-14;3.57;2.22;0.5;3.13;2.29;3.08;-1.02
"15";1991-01-15;3.291;2.14;2.72;2.67;2.04;2.72;1.41
"16";1991-01-16;3.086;2.24;2.43;2.42;2.02;3.59;3.57
"17";1991-01-17;2.694;2.4;2.39;2.32;2.21;4.88;2.3
"18";1991-01-18;2.586;2.13;2.17;2.37;2.02;5.5;0.74
"19";1991-01-19;2.529;2.06;2.56;2.24;2.05;4.55;0.92
"20";1991-01-20;2.489;2.21;2.17;2.09;2.31;3.85;2.02
"21";1991-01-21;2.432;2.04;1.88;2.09;1.96;3.94;2.49
"22";1991-01-22;2.344;1.77;1.62;2.08;1.53;2.97;3.45
"23";1991-01-23;2.244;1.73;1.64;2.05;1.3;1.83;2.59
"24";1991-01-24;2.262;1.62;1.42;2.07;1.26;2.03;2.68
"25";1991-01-25;2.224;1.73;1.45;2.1;1.36;2.29;2.68
"26";1991-01-26;2.244;1.72;1.59;2.11;1.51;1.95;2.99
"27";1991-01-27;2.303;1.74;1.95;2.12;1.49;2.05;3.09
"28";1991-01-28;2.332;1.84;1.92;2.08;1.39;1.73;3.09
"29";1991-01-29;2.348;1.84;1.75;2.07;1.37;1.69;2.6
"30";1991-01-30;2.44;1.8;1.52;2.08;1.24;1.71;2.73
"31";1991-01-31;2.39;1.91;1.41;2.04;1.08;1.31;3.74
"32";1991-02-01;2.212;1.78;1.46;1.98;1.2;0.71;3.34
"33";1991-02-02;2.073;1.71;1.51;1.96;1.36;0.85;3.41
"34";1991-02-03;1.917;1.71;1.18;1.95;1.87;1.32;3.6
"35";1991-02-04;1.844;1.73;1.19;1.94;2.4;1.94;3.6
"36";1991-02-05;1.77;1.63;0.92;1.94;2.48;2.97;2.37
"37";1991-02-06;1.713;1.36;1.16;1.93;2.57;3.19;2.93
"38";1991-02-07;1.658;1.24;1.02;1.93;2.37;2.92;3.26
"39";1991-02-08;1.622;1.25;1.16;1.93;2.25;3.38;3.88
"40";1991-02-09;1.589;1.04;0.75;1.93;2.03;4.2;5.02
"41";1991-02-10;1.576;1.59;0.85;1.93;1.79;4.76;3.89
"42";1991-02-11;1.577;1.58;1.12;1.93;1.36;4.57;3.54
"43";1991-02-12;1.537;1.47;1.39;1.93;1.23;3.59;3.62
"44";1991-02-13;1.482;1.22;1.02;1.93;1.29;3.34;3.64
"45";1991-02-14;1.474;1.18;1.1;1.93;1.49;4.46;2.2
"46";1991-02-15;1.48;1.26;1;1.93;1.72;4.56;0.88
"47";1991-02-16;1.531;1.17;1.34;1.93;1.87;3.83;2.39
"48";1991-02-17;1.555;1.22;1.13;1.93;1.72;3.14;3.75
"49";1991-02-18;1.59;1.25;1.18;1.93;1.44;2.96;4
"50";1991-02-19;1.634;1.07;1.31;1.94;0.93;2.23;4.38
"51";1991-02-20;1.784;1.19;1.36;1.95;0.37;2.18;3.24
"52";1991-02-21;1.949;1.25;1.32;1.97;0.21;1.69;2.84
"53";1991-02-22;2.006;1.28;1.63;1.99;0.05;1.74;2.79
"54";1991-02-23;2.215;1.44;1.71;2.04;0.15;1.52;2.41
"55";1991-02-24;3.234;1.95;3.08;2.24;0.75;1.48;2.11
"56";1991-02-25;5.643;2.39;3.75;2.94;1.64;1.96;2.98
"57";1991-02-26;7.022;2.99;3.81;5.75;2.86;3.4;4.5
"58";1991-02-27;7.091;4.31;6.19;7.33;4.1;4.11;5.3
"59";1991-02-28;8.47;7.53;10.55;12.94;5.43;6;4.9
"60";1991-03-01;7.796;8.55;7.46;9.24;6.55;7.36;6.95
"61";1991-03-02;6.116;5.53;3.88;5.27;6.3;7.34;6.53
"62";1991-03-03;5.479;5.37;4.94;4.75;6.02;7.18;5.09
"63";1991-03-04;5.614;3.82;4.17;4.16;6.01;7.64;4.79
"64";1991-03-05;5.717;3.68;3.44;4.15;5.56;7.87;4.27
"65";1991-03-06;7.302;5.35;5.58;4.54;4.71;7.99;8.72
"66";1991-03-07;16.146;19.61;21.23;19.79;6.55;10.21;19.5
"67";1991-03-08;44.862;52.5;69.77;38.32;13.64;18.51;47.3
"68";1991-03-09;73.6;53.6;52.39;34.87;20.71;26.34;46.19
"69";1991-03-10;31.291;22.6;26.23;17.58;22.95;27.14;31.9
"70";1991-03-11;18.337;16.1;18.34;16.86;23.29;28.07;21.14
"71";1991-03-12;13.976;12.55;15.6;14.58;21.25;28.78;11.99
"72";1991-03-13;11.855;10.51;14.93;10.11;15.1;21.38;10.07
"73";1991-03-14;11.304;9.48;12.13;9.53;9.79;13.8;8.25
