"date";"measured";"xgboost";"lightgbm";"mlp";"lstm";"gru";"svr"
"1";1992-01-01;2.293;2.27;2.15;4.8;NA;NA;5.02
"2";1992-01-02;2.282;3.49;3.08;5.38;NA;NA;6.18
"3";1992-01-03;2.163;3.31;2.96;5.32;NA;NA;6.07
"4";1992-01-04;2.005;3.37;2.96;4.56;NA;NA;5.32
"5";1992-01-05;1.949;1.97;1.81;4.38;4.17;3.89;4.36
"6";1992-01-06;1.926;1.87;1.85;4.29;4.01;3.88;4.23
"7";1992-01-07;1.886;1.75;2.16;4.06;3.75;3.94;3.64
"8";1992-01-08;1.89;1.88;1.74;4.06;3.53;3.72;3.08
"9";1992-01-09;2.083;1.68;1.18;4.35;3.16;3.96;1.51
"10";1992-01-10;2.293;2.43;2.11;7.29;3.6;4.19;0.94
"11";1992-01-11;2.098;3.65;2.1;5.16;3.81;4.38;4.84
"12";1992-01-12;1.973;2.55;3.04;4.52;3.91;3.76;4.4
"13";1992-01-13;1.899;2.58;1.65;4.26;3.14;4.83;4.4
"14";1992-01-14;1.956;1.3;0.34;4.83;3.97;4.75;5.02
"15";1992-01-15;2.376;2.28;1.25;4.94;3.9;4.66;3.45
"16";1992-01-16;2.605;2.54;2.38;5.69;4.22;4.8;3.63
"17";1992-01-17;2.44;3.88;3.65;6.48;4.27;4.63;5.61
"18";1992-01-18;2.317;4.3;3.1;6.06;4.49;4.7;5.48
"19";1992-01-19;2.158;4.25;2.62;5.75;3.94;4.65;5.27
"20";1992-01-20;2.039;3.34;2.97;4.5;4.05;4.48;3.83
"21";1992-01-21;1.966;2.86;3.4;3.85;3.52;4.25;1.52
"22";1992-01-22;1.781;2.2;2.09;3.74;3.22;3.81;2.14
"23";1992-01-23;1.816;2.09;2.33;3.79;3;3.65;3.45
"24";1992-01-24;1.884;2.19;2.72;3.8;2.78;3.42;3.53
"25";1992-01-25;1.972;2.09;2.13;3.87;2.65;3.33;2.58
"26";1992-01-26;2.003;2.17;2.98;3.92;2.58;3.16;2.93
"27";1992-01-27;1.879;2.41;2.36;3.85;2.5;3.07;2.19
"28";1992-01-28;1.771;2.19;1.84;3.86;2.88;3.05;2.09
"29";1992-01-29;1.747;1.93;2.16;3.95;3.2;2.99;2.02
"30";1992-01-30;1.715;2.19;2.84;4.27;3.43;3.22;3.11
"31";1992-01-31;1.769;2.58;3.07;4.35;3.54;3.33;3.26
"32";1992-02-01;1.813;2.54;3.25;4.5;3.41;3.51;3.82
"33";1992-02-02;1.841;2.25;3.34;4.31;3.21;3.41;4.19
"34";1992-02-03;1.771;2.36;3.06;4.31;3.11;3.58;3.33
"35";1992-02-04;1.774;2.43;3.04;4.03;3.12;3.55;2.98
"36";1992-02-05;1.957;2.44;3.09;4.37;3.19;3.8;3.78
"37";1992-02-06;2.16;2.95;4.41;4.94;3.34;3.79;5.32
"38";1992-02-07;1.98;3.12;3.55;4.79;3.4;4.02;4.56
"39";1992-02-08;1.926;2.58;3.33;4.64;3.56;4.02;4.72
"40";1992-02-09;1.913;2.4;2.82;4.51;3.7;3.94;4.2
"41";1992-02-10;1.927;2.33;3.03;4.12;3.66;3.95;4.01
"42";1992-02-11;1.797;2.29;2.95;3.99;3.59;3.8;2.69
"43";1992-02-12;1.78;2.48;3.11;4.17;3.42;3.75;3.5
"44";1992-02-13;1.985;3.17;3.67;4.09;3.17;3.81;3.7
"45";1992-02-14;2.145;3.68;3.54;4.76;3.41;3.84;4.04
"46";1992-02-15;1.933;2.43;3.03;4.42;3.59;3.72;5.28
"47";1992-02-16;1.904;2.45;2.96;4.13;3.83;3.48;5.53
"48";1992-02-17;1.817;2.79;2.4;3.69;3.64;3.87;3.72
"49";1992-02-18;1.612;2.58;2.2;3.68;3.63;3.4;4.49
"50";1992-02-19;1.582;1.94;1.78;3.62;3.03;3.17;3.81
"51";1992-02-20;1.561;1.56;1.71;3.59;2.86;3.15;3.57
"52";1992-02-21;1.49;1.39;0.84;3.6;2.56;2.9;2.78
"53";1992-02-22;1.469;1.48;0.98;3.68;2.43;2.86;4.04
"54";1992-02-23;1.469;1.53;1.39;3.72;1.91;2.82;4.99
"55";1992-02-24;1.621;2;1.4;3.8;2.25;2.91;4.15
"56";1992-02-25;1.651;2.45;2.21;3.93;2.38;2.85;2.67
"57";1992-02-26;1.682;2.14;1.44;3.97;2.3;2.89;2.58
"58";1992-02-27;1.706;2.19;1.9;3.98;2.38;2.97;2.63
"59";1992-02-28;1.736;2.02;1.17;3.96;2.2;3.06;2.84
"60";1992-02-29;1.785;2.25;1.11;3.97;2.14;3.25;3.46
"61";1992-03-01;1.824;2.25;1.03;4.03;2.16;3.41;3.84
"62";1992-03-02;1.793;2.28;1.2;4.03;2.04;3.43;4.65
"63";1992-03-03;1.797;2.51;1.3;4.25;2.12;3.51;4.77
"64";1992-03-04;1.961;2.54;2.08;4.54;2.36;3.7;4.74
"65";1992-03-05;2.208;3.98;2.29;4.75;2.71;4;4.47
"66";1992-03-06;2.236;3.97;2.25;5.59;3.2;4.28;5.45
"67";1992-03-07;2.321;4.7;3.3;5.59;3.52;4.45;6.07
"68";1992-03-08;2.362;4.09;4.21;4.7;3.58;4.6;5.03
"69";1992-03-09;2.224;3.21;2.75;4.32;3.65;4.41;4.28
"70";1992-03-10;2.18;2.36;2.88;4.17;3.55;4.46;4.32
"71";1992-03-11;2.162;2.78;1.69;4.06;3.29;4.44;4.14
"72";1992-03-12;2.108;2.48;1.69;4.01;2.9;4.06;3.34
"73";1992-03-13;2.034;2.44;1.38;4.05;2.37;3.74;4.31
"74";1992-03-14;2.03;2.02;1.91;4.08;2.28;3.61;4.64
"75";1992-03-15;2.188;2.02;2.06;4.1;2.25;3.61;3.69
"76";1992-03-16;2.383;2.13;2.83;4.28;2.37;3.57;3.8
"77";1992-03-17;2.315;2.22;2.24;4.32;2.45;3.53;4.08
"78";1992-03-18;2.359;1.87;1.84;4.22;2.29;3.54;4.2
"79";1992-03-19;2.359;2.1;1.88;4.31;2.32;3.55;3.93
"80";1992-03-20;2.492;2.46;2.16;4.77;2.39;3.78;4.3
"81";1992-03-21;2.704;3.4;3.3;5.16;2.56;4.07;4.6
"82";1992-03-22;2.816;3.53;3.66;4.77;2.64;4.19;5.16
"83";1992-03-23;2.904;5.8;5.75;5.08;2.69;4.44;5.5
"84";1992-03-24;3.91;5.86;6.53;4.99;2.97;4.37;6.8
"85";1992-03-25;3.205;3.6;4.47;4.62;3.33;4.73;0.18
"86";1992-03-26;2.909;3.05;3.57;3.99;3.79;3.94;1.29
"87";1992-03-27;2.825;2.99;2.62;3.92;3.77;4.71;2.94
"88";1992-03-28;2.772;3.02;3.73;3.96;3.6;4.43;3.95
"89";1992-03-29;2.56;3.5;3.44;3.95;3.36;4.03;0.97
"90";1992-03-30;2.853;1.56;4.44;3.87;3.33;3.88;5.25
"91";1992-03-31;4.415;9.89;9.35;6.3;4.43;5.05;2.88
"92";1992-04-01;7.781;9.05;3.68;14.7;6.41;5.41;10.06
"93";1992-04-02;4.898;6.69;13.79;6.1;6.64;5.76;3.59
"94";1992-04-03;4.583;4.13;9.09;6.81;5.7;5.8;1.52
"95";1992-04-04;7.68;5.49;5.64;6.52;5.82;8.35;13.35
"96";1992-04-05;14.106;15.8;11.68;13.4;6.58;8.49;24.83
"97";1992-04-06;11.075;6.93;8.28;8.56;6.19;7.37;18.05
"98";1992-04-07;9.733;6.5;6.59;6.9;6.12;6.79;11.07
"99";1992-04-08;9.134;5.69;5.14;6.65;6.55;7.4;7.29
"100";1992-04-09;9.504;5.32;6.28;6.89;6.43;7.18;7.17
"101";1992-04-10;10.447;6.12;5.32;8.38;5.96;6.92;6.25
"102";1992-04-11;10.661;6.27;4.75;8.91;6.56;7.06;7.89
"103";1992-04-12;10.945;5.86;4.27;9.92;6.67;6.67;9.58
"104";1992-04-13;11.313;5.94;5.1;10.06;6.99;6.64;9.87
"105";1992-04-14;9.767;6.35;7.15;9.3;7.14;6.91;9.03
"106";1992-04-15;10.82;5.92;5.03;6.36;6.94;6.62;6.28
"107";1992-04-16;8.354;6.89;4.5;6.49;6.27;6.2;5.9
"108";1992-04-17;6.242;5.06;3.53;5.79;5.57;5.71;5.75
"109";1992-04-18;6.257;4.27;3.26;6.03;5.33;5.55;6.32
"110";1992-04-19;8.733;4.01;3.46;6.67;5.42;5.84;7.63
"111";1992-04-20;10.792;4.93;5.55;7.74;5.77;5.99;8.53
"112";1992-04-21;10.764;6.22;7.98;7.26;5.91;5.9;7.02
"113";1992-04-22;9.75;6.49;8.13;7.52;5.97;6.06;7.03
"114";1992-04-23;11.398;8.24;7.08;7.57;6.36;6.14;6.73
"115";1992-04-24;12.021;6.79;8.05;8.36;6.6;7.14;9.32
"116";1992-04-25;15.132;8.93;8.1;11.19;7.26;7.48;11.38
"117";1992-04-26;20.482;14.1;12.47;16.23;8.8;8.87;13.78
"118";1992-04-27;24.357;17.75;18.94;18.92;11.2;10.51;15.65
"119";1992-04-28;40.857;24.68;19.13;33.96;15.7;15.15;20.38
"120";1992-04-29;40.852;21.57;27.74;37.91;20.5;19.57;31.71
"121";1992-04-30;16.215;11.63;13.23;13.2;20.26;22.36;13.58
"122";1992-05-01;12.38;9.99;9.5;12.5;19.2;21.28;10.92
"123";1992-05-02;15.208;13.1;11.97;15.8;19.99;23.64;15.55
"124";1992-05-03;13.682;14.22;14.73;15.12;17.82;19.78;14.78
"125";1992-05-04;14.446;15.97;13.22;15.34;16.26;15.65;15.68
"126";1992-05-05;17.337;20.41;19.93;17.68;17.62;16.31;16.57
"127";1992-05-06;18.911;20.52;19.15;19.24;20.56;18.13;15.51
"128";1992-05-07;17.818;18.45;15.99;20;21.85;19.91;15.04
"129";1992-05-08;17.117;20.39;19.06;20.77;23.37;20.81;14.81
"130";1992-05-09;17.622;22.54;19.77;22.35;24.23;21.84;14.86
"131";1992-05-10;19.636;23.31;24.62;25.03;25.1;22.59;16.26
"132";1992-05-11;30.399;28.88;26.3;32.57;26.52;23.56;23.57
"133";1992-05-12;19.887;21.54;18.85;25.1;27.21;25.37;18.6
"134";1992-05-13;16.286;19.04;18.27;19.75;27.96;25.22;16.24
"135";1992-05-14;19.173;20.33;18.11;20.87;28.63;26.34;16.71
"136";1992-05-15;19.746;20.92;17.25;19.72;27.45;25.02;15.97
"137";1992-05-16;18.656;20.05;19.77;19.06;25.44;22.17;16.33
"138";1992-05-17;16.299;20.9;20.8;18.76;24.64;20.11;16.94
"139";1992-05-18;14.202;19.13;21.48;18.89;24.86;19.69;17.13
"140";1992-05-19;12.994;18.77;20.86;18.65;24.2;19.21;16.83
"141";1992-05-20;11.104;16.11;11.95;19.38;23.08;18.58;13.83
"142";1992-05-21;10.763;11.29;11.66;22.02;22;17.58;12.17
"143";1992-05-22;8.49;11.22;10.99;15.73;20.42;17;11.05
"144";1992-05-23;7.551;12.17;10.23;14.37;18.76;14.73;10.15
"145";1992-05-24;7.297;11.26;8.51;15.18;17.24;14.46;10.95
"146";1992-05-25;7.261;12.77;12.59;14.36;15.68;13.82;12.86
"147";1992-05-26;8.043;14.03;16.52;18.08;14.68;13.24;16.41
"148";1992-05-27;9.276;16.05;16.52;19.86;14.77;13.87;16.94
"149";1992-05-28;8.773;15.57;11.61;16.8;15.51;15.11;13.2
"150";1992-05-29;10.983;14.47;16.36;19.96;16.53;16.55;16.19
"151";1992-05-30;9.531;13.84;13.04;15.05;17.51;18.14;13.4
"152";1992-05-31;13.434;15.72;14.27;19.95;18.44;18.08;18.49
"153";1992-06-01;20.409;20.42;24.24;37.68;21.82;22.6;30.3
"154";1992-06-02;80.885;76.43;66.31;76.49;31.66;32.14;83.69
"155";1992-06-03;75.07;75.36;69.7;81.68;44.19;42.39;69.46
"156";1992-06-04;42.38;50.85;54.83;62.73;53.44;49.74;50.98
"157";1992-06-05;58.244;52.12;46.91;72.04;61.23;57.29;45.62
"158";1992-06-06;39.999;33.33;40.78;50.56;63.89;57.3;32.28
